0.863 ± 0.008,86.519 ± 1.313
0.855 ± 0.008,85.292 ± 1.308
0.857 ± 0.008,85.392 ± 1.655
0.857 ± 0.008,85.674 ± 1.200
0.872 ± 0.010,87.123 ± 0.913
0.867 ± 0.008,86.881 ± 1.419
0.868 ± 0.009,86.620 ± 1.409
0.860 ± 0.008,85.855 ± 1.535
0.861 ± 0.009,86.137 ± 1.536
0.863 ± 0.007,86.419 ± 1.452
0.803 ± 0.026,80.141 ± 3.589
0.821 ± 0.023,81.167 ± 3.282
0.829 ± 0.019,82.716 ± 2.588
0.762 ± 0.043,76.258 ± 5.341
0.773 ± 0.054,77.767 ± 6.053
0.819 ± 0.028,81.730 ± 3.920
0.846 ± 0.013,84.447 ± 1.813
0.850 ± 0.011,84.809 ± 1.784
0.846 ± 0.010,84.205 ± 1.608
0.807 ± 0.018,80.825 ± 2.275
0.820 ± 0.025,81.751 ± 3.002
0.826 ± 0.026,82.314 ± 3.237
0.856 ± 0.007,85.815 ± 1.780
0.859 ± 0.006,86.398 ± 1.251
0.855 ± 0.007,85.513 ± 1.932
0.844 ± 0.005,84.950 ± 1.259
0.847 ± 0.005,84.728 ± 1.796
0.850 ± 0.007,85.111 ± 1.285
0.853 ± 0.008,85.895 ± 1.252
0.857 ± 0.011,86.097 ± 1.299
0.858 ± 0.008,85.936 ± 1.966
0.855 ± 0.010,85.453 ± 1.620
0.854 ± 0.007,85.795 ± 1.356
0.855 ± 0.008,85.352 ± 1.236
0.827 ± 0.021,82.274 ± 3.469
0.831 ± 0.019,83.260 ± 3.104
0.844 ± 0.012,84.588 ± 2.048
0.772 ± 0.045,77.143 ± 4.939
0.814 ± 0.048,81.006 ± 5.094
0.833 ± 0.021,83.018 ± 2.771
0.848 ± 0.009,84.668 ± 1.839
0.853 ± 0.010,84.849 ± 1.353
0.856 ± 0.009,85.875 ± 1.835
0.829 ± 0.017,82.294 ± 3.053
0.834 ± 0.013,82.897 ± 2.408
0.847 ± 0.012,84.225 ± 1.855
