0.686 ± 0.033,69.320 ± 3.162
0.670 ± 0.028,67.675 ± 2.672
0.658 ± 0.028,65.943 ± 3.123
0.683 ± 0.021,69.057 ± 2.681
0.694 ± 0.015,70.461 ± 2.624
0.688 ± 0.014,69.627 ± 2.939
0.706 ± 0.021,71.886 ± 2.135
0.687 ± 0.015,69.605 ± 2.217
0.681 ± 0.016,69.298 ± 2.344
0.680 ± 0.017,68.531 ± 1.882
0.687 ± 0.018,68.794 ± 2.677
0.677 ± 0.014,68.465 ± 2.892
0.708 ± 0.021,71.140 ± 2.165
0.694 ± 0.019,70.219 ± 2.064
0.681 ± 0.016,69.101 ± 2.558
0.671 ± 0.025,67.917 ± 2.831
0.660 ± 0.014,67.083 ± 1.928
0.641 ± 0.020,65.132 ± 2.117
0.698 ± 0.034,70.724 ± 3.250
0.681 ± 0.047,68.816 ± 2.840
0.662 ± 0.022,66.842 ± 2.490
0.703 ± 0.019,71.250 ± 2.056
0.691 ± 0.018,70.175 ± 3.214
0.680 ± 0.014,69.189 ± 1.940
0.700 ± 0.035,71.294 ± 2.558
0.675 ± 0.037,68.750 ± 3.168
0.669 ± 0.015,67.697 ± 1.819
0.705 ± 0.016,71.009 ± 1.658
0.705 ± 0.015,71.732 ± 2.023
0.706 ± 0.015,71.952 ± 2.205
0.710 ± 0.023,72.083 ± 2.512
0.708 ± 0.021,71.316 ± 2.059
0.696 ± 0.021,70.746 ± 2.868
0.730 ± 0.012,73.838 ± 1.760
0.723 ± 0.013,73.048 ± 1.595
0.705 ± 0.015,71.798 ± 2.090
0.724 ± 0.020,73.333 ± 2.198
0.719 ± 0.015,72.303 ± 1.904
0.706 ± 0.011,71.798 ± 1.564
0.744 ± 0.022,76.601 ± 1.448
0.734 ± 0.025,74.561 ± 1.969
0.733 ± 0.036,74.496 ± 2.558
0.755 ± 0.018,77.522 ± 0.997
0.752 ± 0.023,77.390 ± 1.453
0.744 ± 0.019,76.206 ± 1.298
0.751 ± 0.024,76.864 ± 1.570
0.742 ± 0.030,75.482 ± 2.335
0.729 ± 0.034,74.342 ± 2.585
0.755 ± 0.019,77.149 ± 1.113
0.747 ± 0.030,76.776 ± 2.377
0.739 ± 0.025,75.658 ± 2.208
0.764 ± 0.016,77.763 ± 1.097
0.756 ± 0.018,76.535 ± 1.297
0.743 ± 0.024,75.702 ± 1.315
0.762 ± 0.017,77.982 ± 1.020
0.757 ± 0.019,77.390 ± 1.368
0.748 ± 0.028,75.921 ± 1.906
0.773 ± 0.015,78.246 ± 1.393
0.769 ± 0.014,77.851 ± 1.435
0.759 ± 0.013,77.193 ± 1.370
0.770 ± 0.014,78.443 ± 1.135
0.766 ± 0.016,77.895 ± 1.176
0.760 ± 0.019,77.215 ± 1.628
