0.709 ± 0.013,70.825 ± 2.846
0.714 ± 0.012,71.408 ± 2.536
0.720 ± 0.013,72.535 ± 1.920
0.688 ± 0.017,69.054 ± 2.249
0.695 ± 0.012,69.477 ± 2.278
0.700 ± 0.013,70.382 ± 2.112
0.713 ± 0.013,71.026 ± 2.675
0.716 ± 0.015,71.911 ± 2.718
0.737 ± 0.015,73.682 ± 2.380
0.694 ± 0.014,69.477 ± 2.570
0.702 ± 0.010,70.302 ± 2.307
0.711 ± 0.013,71.308 ± 2.539
0.727 ± 0.022,73.058 ± 2.562
0.722 ± 0.017,72.797 ± 2.960
0.732 ± 0.013,73.602 ± 2.444
0.692 ± 0.011,69.678 ± 1.913
0.692 ± 0.010,69.779 ± 2.217
0.702 ± 0.008,70.402 ± 2.565
0.719 ± 0.011,71.630 ± 1.811
0.725 ± 0.011,72.173 ± 1.617
0.725 ± 0.011,72.414 ± 1.841
0.704 ± 0.010,70.785 ± 2.125
0.711 ± 0.009,71.006 ± 2.288
0.712 ± 0.010,71.268 ± 1.896
0.722 ± 0.011,72.032 ± 2.191
0.722 ± 0.012,71.610 ± 2.227
0.723 ± 0.013,72.334 ± 1.766
0.708 ± 0.010,70.584 ± 1.977
0.710 ± 0.011,70.805 ± 1.762
0.711 ± 0.013,71.529 ± 2.031
0.724 ± 0.011,72.616 ± 1.771
0.728 ± 0.011,72.797 ± 2.348
0.734 ± 0.012,73.018 ± 1.956
0.711 ± 0.009,71.127 ± 2.197
0.715 ± 0.011,71.630 ± 2.000
0.719 ± 0.013,71.932 ± 2.195
0.746 ± 0.012,74.145 ± 2.105
0.746 ± 0.010,74.064 ± 2.290
0.752 ± 0.013,74.849 ± 2.139
0.725 ± 0.011,71.831 ± 2.864
0.732 ± 0.013,72.696 ± 2.081
0.736 ± 0.011,73.199 ± 2.474
0.728 ± 0.010,72.656 ± 1.997
0.729 ± 0.012,73.058 ± 2.373
0.731 ± 0.009,73.320 ± 2.118
0.716 ± 0.011,71.227 ± 1.806
0.714 ± 0.008,71.429 ± 2.046
0.718 ± 0.010,71.932 ± 1.845
0.724 ± 0.007,72.093 ± 2.110
0.731 ± 0.011,72.978 ± 2.657
0.731 ± 0.010,72.757 ± 2.036
0.712 ± 0.010,71.268 ± 2.332
0.717 ± 0.009,71.549 ± 2.305
0.719 ± 0.010,71.831 ± 2.040
0.725 ± 0.008,72.254 ± 2.349
0.727 ± 0.010,72.616 ± 2.230
0.732 ± 0.009,73.099 ± 2.050
0.712 ± 0.009,71.207 ± 2.410
0.713 ± 0.010,71.408 ± 2.115
0.719 ± 0.011,71.811 ± 1.665
0.726 ± 0.011,72.334 ± 2.118
0.730 ± 0.009,73.159 ± 2.135
0.731 ± 0.012,73.099 ± 2.537
0.714 ± 0.011,71.147 ± 2.312
0.717 ± 0.009,71.791 ± 2.157
0.722 ± 0.011,72.213 ± 2.332
0.718 ± 0.013,71.932 ± 2.296
0.721 ± 0.009,72.314 ± 1.809
0.727 ± 0.013,72.354 ± 2.132
0.707 ± 0.009,70.805 ± 2.398
0.710 ± 0.009,71.087 ± 1.804
0.711 ± 0.013,71.328 ± 2.627
0.716 ± 0.008,71.891 ± 1.984
0.721 ± 0.008,72.193 ± 1.714
0.726 ± 0.011,72.294 ± 2.141
0.707 ± 0.012,70.744 ± 2.097
0.711 ± 0.014,71.127 ± 2.050
0.712 ± 0.008,71.368 ± 2.139
0.723 ± 0.011,72.314 ± 1.972
0.725 ± 0.011,72.696 ± 1.824
0.727 ± 0.013,73.018 ± 1.723
0.709 ± 0.011,70.865 ± 2.172
0.710 ± 0.009,71.127 ± 2.343
0.716 ± 0.013,71.408 ± 1.713
0.735 ± 0.014,73.239 ± 2.038
0.739 ± 0.012,73.300 ± 2.076
0.742 ± 0.012,74.225 ± 1.882
0.720 ± 0.014,72.052 ± 2.214
0.725 ± 0.010,72.173 ± 1.938
0.725 ± 0.012,72.314 ± 2.289
0.687 ± 0.014,68.390 ± 2.015
0.694 ± 0.012,69.537 ± 2.752
0.703 ± 0.011,70.423 ± 2.338
0.672 ± 0.011,67.706 ± 2.007
0.678 ± 0.012,68.169 ± 2.240
0.685 ± 0.011,69.135 ± 2.453
0.702 ± 0.023,70.543 ± 3.001
0.710 ± 0.016,71.348 ± 3.086
0.723 ± 0.018,72.394 ± 2.605
0.676 ± 0.015,68.249 ± 2.320
0.683 ± 0.012,68.712 ± 2.225
0.690 ± 0.012,69.296 ± 2.152
0.688 ± 0.018,69.859 ± 2.701
0.703 ± 0.018,70.604 ± 3.212
0.720 ± 0.016,72.736 ± 2.948
0.678 ± 0.017,68.229 ± 2.059
0.690 ± 0.018,69.879 ± 2.763
0.703 ± 0.016,70.905 ± 2.415
0.712 ± 0.017,72.052 ± 3.085
0.721 ± 0.016,72.153 ± 2.906
0.727 ± 0.016,72.857 ± 3.089
0.673 ± 0.014,67.968 ± 2.087
0.681 ± 0.014,68.571 ± 2.096
0.688 ± 0.011,69.316 ± 2.058
0.683 ± 0.010,68.974 ± 2.603
0.692 ± 0.010,69.376 ± 2.392
0.699 ± 0.011,70.503 ± 2.237
0.670 ± 0.013,67.183 ± 2.291
0.678 ± 0.011,67.928 ± 2.245
