0.895 ± 0.005,89.328 ± 0.381
0.895 ± 0.004,89.364 ± 0.411
0.897 ± 0.003,89.495 ± 0.460
0.894 ± 0.005,89.260 ± 0.522
0.896 ± 0.005,89.457 ± 0.485
0.897 ± 0.004,89.539 ± 0.510
0.896 ± 0.003,89.364 ± 0.464
0.897 ± 0.004,89.430 ± 0.583
0.896 ± 0.004,89.447 ± 0.483
0.895 ± 0.005,89.275 ± 0.418
0.896 ± 0.005,89.399 ± 0.415
0.897 ± 0.004,89.561 ± 0.374
0.896 ± 0.004,89.417 ± 0.545
0.898 ± 0.005,89.419 ± 0.513
0.898 ± 0.004,89.592 ± 0.539
0.896 ± 0.004,89.412 ± 0.350
0.896 ± 0.004,89.470 ± 0.402
0.897 ± 0.004,89.584 ± 0.533
0.893 ± 0.005,88.991 ± 0.373
0.893 ± 0.004,89.120 ± 0.343
0.894 ± 0.004,89.305 ± 0.439
0.892 ± 0.005,88.930 ± 0.454
0.893 ± 0.005,89.029 ± 0.462
0.894 ± 0.005,89.194 ± 0.424
0.894 ± 0.004,89.153 ± 0.411
0.894 ± 0.004,89.211 ± 0.362
0.894 ± 0.004,89.272 ± 0.319
0.894 ± 0.004,89.097 ± 0.410
0.894 ± 0.004,89.219 ± 0.415
0.895 ± 0.003,89.222 ± 0.439
0.893 ± 0.003,89.097 ± 0.390
0.893 ± 0.004,89.199 ± 0.392
0.894 ± 0.003,89.282 ± 0.427
0.895 ± 0.004,89.232 ± 0.471
0.895 ± 0.003,89.252 ± 0.469
0.895 ± 0.004,89.293 ± 0.471
0.892 ± 0.003,89.019 ± 0.464
0.892 ± 0.003,89.029 ± 0.422
0.892 ± 0.003,89.077 ± 0.422
0.894 ± 0.004,89.148 ± 0.453
0.894 ± 0.004,89.191 ± 0.505
0.894 ± 0.003,89.242 ± 0.457
0.891 ± 0.005,88.879 ± 0.254
0.894 ± 0.005,89.044 ± 0.332
0.893 ± 0.004,89.085 ± 0.348
0.892 ± 0.007,88.763 ± 0.413
0.893 ± 0.006,89.037 ± 0.370
0.894 ± 0.006,89.044 ± 0.406
0.893 ± 0.004,88.966 ± 0.378
0.894 ± 0.004,89.057 ± 0.369
0.894 ± 0.004,89.108 ± 0.376
0.893 ± 0.004,88.935 ± 0.296
0.893 ± 0.005,89.042 ± 0.351
0.895 ± 0.004,89.234 ± 0.381
0.894 ± 0.004,89.128 ± 0.443
0.894 ± 0.004,89.138 ± 0.458
0.895 ± 0.004,89.138 ± 0.483
0.894 ± 0.004,89.113 ± 0.379
0.894 ± 0.004,89.217 ± 0.395
0.895 ± 0.004,89.257 ± 0.420
0.895 ± 0.003,89.113 ± 0.468
0.895 ± 0.003,89.186 ± 0.450
0.895 ± 0.003,89.191 ± 0.471
0.894 ± 0.004,89.176 ± 0.491
0.895 ± 0.004,89.217 ± 0.387
0.895 ± 0.004,89.222 ± 0.457
0.893 ± 0.004,89.031 ± 0.376
0.893 ± 0.005,89.153 ± 0.352
0.894 ± 0.004,89.310 ± 0.378
0.892 ± 0.006,88.917 ± 0.311
0.893 ± 0.006,89.024 ± 0.505
0.893 ± 0.005,89.110 ± 0.413
0.893 ± 0.004,89.118 ± 0.357
0.893 ± 0.004,89.153 ± 0.356
0.894 ± 0.004,89.255 ± 0.413
0.893 ± 0.005,89.146 ± 0.387
0.894 ± 0.004,89.113 ± 0.376
0.895 ± 0.004,89.166 ± 0.395
0.894 ± 0.004,89.151 ± 0.385
0.894 ± 0.003,89.206 ± 0.317
0.894 ± 0.003,89.275 ± 0.360
0.895 ± 0.004,89.156 ± 0.449
0.895 ± 0.004,89.194 ± 0.439
0.895 ± 0.004,89.201 ± 0.397
0.893 ± 0.003,89.077 ± 0.423
0.893 ± 0.004,89.105 ± 0.412
0.893 ± 0.003,89.196 ± 0.443
0.894 ± 0.004,89.128 ± 0.411
0.894 ± 0.004,89.176 ± 0.403
0.894 ± 0.004,89.265 ± 0.447
0.895 ± 0.006,89.214 ± 0.383
0.895 ± 0.005,89.277 ± 0.424
0.896 ± 0.004,89.460 ± 0.344
0.893 ± 0.005,89.037 ± 0.431
0.895 ± 0.005,89.270 ± 0.454
0.895 ± 0.004,89.331 ± 0.373
0.896 ± 0.004,89.348 ± 0.391
0.896 ± 0.005,89.430 ± 0.458
0.897 ± 0.004,89.465 ± 0.344
0.896 ± 0.004,89.308 ± 0.402
0.896 ± 0.004,89.430 ± 0.417
0.897 ± 0.004,89.417 ± 0.351
0.897 ± 0.004,89.376 ± 0.456
0.897 ± 0.004,89.465 ± 0.468
0.896 ± 0.004,89.533 ± 0.402
0.897 ± 0.004,89.544 ± 0.465
0.897 ± 0.004,89.473 ± 0.341
0.898 ± 0.003,89.470 ± 0.345
0.896 ± 0.004,89.394 ± 0.460
0.897 ± 0.004,89.455 ± 0.408
0.897 ± 0.004,89.432 ± 0.498
0.897 ± 0.004,89.650 ± 0.446
0.897 ± 0.004,89.533 ± 0.513
0.897 ± 0.004,89.445 ± 0.355
0.894 ± 0.006,89.049 ± 0.523
0.894 ± 0.005,89.044 ± 0.441
0.897 ± 0.005,89.414 ± 0.487
0.894 ± 0.006,88.988 ± 0.497
0.896 ± 0.005,89.338 ± 0.457
0.897 ± 0.004,89.399 ± 0.306
0.895 ± 0.004,89.176 ± 0.294
0.895 ± 0.004,89.285 ± 0.288
0.897 ± 0.004,89.404 ± 0.404
0.896 ± 0.005,89.262 ± 0.328
0.896 ± 0.004,89.379 ± 0.361
0.896 ± 0.004,89.270 ± 0.348
0.896 ± 0.004,89.189 ± 0.273
0.896 ± 0.004,89.424 ± 0.240
0.897 ± 0.004,89.437 ± 0.418
0.896 ± 0.004,89.348 ± 0.379
0.896 ± 0.004,89.272 ± 0.359
0.897 ± 0.004,89.323 ± 0.396
0.896 ± 0.005,89.351 ± 0.436
0.897 ± 0.004,89.305 ± 0.264
0.896 ± 0.004,89.498 ± 0.392
0.897 ± 0.005,89.412 ± 0.289
0.897 ± 0.004,89.353 ± 0.321
0.896 ± 0.004,89.336 ± 0.282
0.894 ± 0.005,89.265 ± 0.381
0.895 ± 0.005,89.305 ± 0.261
0.896 ± 0.004,89.394 ± 0.396
0.894 ± 0.006,89.153 ± 0.406
0.896 ± 0.005,89.280 ± 0.339
0.896 ± 0.005,89.402 ± 0.355
0.896 ± 0.004,89.318 ± 0.387
0.897 ± 0.005,89.364 ± 0.495
0.896 ± 0.004,89.495 ± 0.434
0.895 ± 0.005,89.290 ± 0.362
0.897 ± 0.004,89.432 ± 0.353
0.897 ± 0.004,89.480 ± 0.348
0.897 ± 0.004,89.488 ± 0.439
0.897 ± 0.004,89.409 ± 0.442
0.897 ± 0.004,89.551 ± 0.341
0.897 ± 0.003,89.518 ± 0.466
0.897 ± 0.004,89.513 ± 0.370
0.897 ± 0.004,89.528 ± 0.366
0.897 ± 0.004,89.541 ± 0.564
0.896 ± 0.003,89.493 ± 0.532
0.897 ± 0.003,89.561 ± 0.363
0.897 ± 0.003,89.549 ± 0.403
0.897 ± 0.004,89.566 ± 0.371
0.897 ± 0.003,89.511 ± 0.375
0.894 ± 0.005,89.118 ± 0.415
0.894 ± 0.006,89.361 ± 0.482
0.896 ± 0.005,89.488 ± 0.527
0.894 ± 0.005,89.120 ± 0.473
0.893 ± 0.004,89.075 ± 0.426
0.894 ± 0.005,89.323 ± 0.504
0.895 ± 0.004,89.333 ± 0.363
0.895 ± 0.004,89.356 ± 0.486
0.897 ± 0.004,89.536 ± 0.524
0.893 ± 0.005,89.161 ± 0.355
0.894 ± 0.005,89.262 ± 0.457
0.896 ± 0.004,89.404 ± 0.421
0.896 ± 0.003,89.394 ± 0.415
0.896 ± 0.004,89.424 ± 0.400
0.897 ± 0.005,89.483 ± 0.535
0.895 ± 0.004,89.275 ± 0.383
0.896 ± 0.004,89.315 ± 0.415
0.896 ± 0.004,89.447 ± 0.398
0.896 ± 0.004,89.328 ± 0.532
0.896 ± 0.004,89.409 ± 0.399
0.897 ± 0.005,89.541 ± 0.498
0.896 ± 0.004,89.389 ± 0.380
0.896 ± 0.005,89.435 ± 0.605
0.898 ± 0.004,89.546 ± 0.505
0.892 ± 0.005,89.102 ± 0.384
0.893 ± 0.006,89.105 ± 0.533
0.895 ± 0.006,89.282 ± 0.608
0.893 ± 0.007,89.064 ± 0.527
0.895 ± 0.007,89.176 ± 0.520
0.894 ± 0.006,89.092 ± 0.524
0.892 ± 0.005,88.996 ± 0.316
0.893 ± 0.006,89.029 ± 0.361
0.895 ± 0.006,89.353 ± 0.620
0.893 ± 0.006,89.062 ± 0.493
0.895 ± 0.007,89.123 ± 0.474
