0.575 ± 0.024,57.791 ± 3.196
0.597 ± 0.047,59.385 ± 5.157
0.666 ± 0.046,66.513 ± 3.871
0.545 ± 0.020,54.179 ± 2.592
0.606 ± 0.087,60.259 ± 8.262
0.590 ± 0.056,58.991 ± 4.853
0.622 ± 0.022,62.027 ± 2.569
0.655 ± 0.036,65.274 ± 4.411
0.689 ± 0.021,69.039 ± 2.794
0.625 ± 0.058,61.960 ± 5.755
0.631 ± 0.054,62.767 ± 5.273
0.648 ± 0.041,64.323 ± 3.250
0.709 ± 0.013,70.720 ± 2.378
0.707 ± 0.017,70.874 ± 1.753
0.704 ± 0.013,70.346 ± 2.088
0.679 ± 0.043,67.483 ± 4.210
0.686 ± 0.048,68.261 ± 4.509
0.700 ± 0.016,69.347 ± 2.550
0.717 ± 0.009,71.671 ± 2.202
0.723 ± 0.009,71.825 ± 2.139
0.718 ± 0.011,71.479 ± 2.143
0.727 ± 0.012,72.421 ± 1.772
0.724 ± 0.011,71.768 ± 2.072
0.712 ± 0.010,71.114 ± 1.613
0.607 ± 0.053,60.548 ± 4.790
0.665 ± 0.023,66.282 ± 2.354
0.678 ± 0.017,67.445 ± 1.756
0.598 ± 0.068,59.856 ± 6.101
0.686 ± 0.018,68.194 ± 2.864
0.690 ± 0.017,68.626 ± 2.218
0.643 ± 0.031,63.987 ± 3.565
0.670 ± 0.029,66.695 ± 3.002
0.677 ± 0.022,67.656 ± 2.665
0.665 ± 0.040,66.225 ± 3.362
0.681 ± 0.024,67.695 ± 2.513
0.686 ± 0.021,68.252 ± 2.500
0.654 ± 0.020,65.159 ± 2.572
0.678 ± 0.023,67.012 ± 2.359
0.688 ± 0.026,68.146 ± 2.667
0.684 ± 0.023,67.771 ± 1.870
0.691 ± 0.022,68.453 ± 3.110
0.695 ± 0.017,69.011 ± 1.959
0.666 ± 0.013,65.783 ± 1.708
0.681 ± 0.024,67.646 ± 2.813
0.693 ± 0.020,68.559 ± 2.202
0.696 ± 0.017,69.280 ± 2.303
0.705 ± 0.018,70.096 ± 2.104
0.698 ± 0.016,68.991 ± 1.873
0.550 ± 0.047,54.745 ± 4.322
0.598 ± 0.063,59.107 ± 6.940
0.622 ± 0.083,62.094 ± 7.871
0.572 ± 0.089,56.907 ± 8.405
0.681 ± 0.020,67.954 ± 2.798
0.677 ± 0.078,67.089 ± 8.257
0.598 ± 0.023,59.577 ± 2.751
0.637 ± 0.025,63.199 ± 2.334
0.666 ± 0.016,66.042 ± 2.646
0.671 ± 0.023,67.061 ± 2.507
0.691 ± 0.020,68.665 ± 2.565
0.692 ± 0.016,68.665 ± 2.376
0.598 ± 0.017,59.203 ± 2.937
0.614 ± 0.019,60.922 ± 2.504
0.653 ± 0.016,64.669 ± 2.380
0.674 ± 0.019,67.080 ± 3.041
0.683 ± 0.018,67.723 ± 2.341
0.691 ± 0.015,68.703 ± 2.415
0.618 ± 0.017,61.364 ± 1.611
0.624 ± 0.022,61.892 ± 2.012
0.647 ± 0.018,64.390 ± 2.614
0.662 ± 0.010,65.985 ± 2.345
0.666 ± 0.015,66.465 ± 1.693
0.683 ± 0.018,67.887 ± 2.585
0.436 ± 0.056,43.987 ± 5.650
0.502 ± 0.065,50.432 ± 6.664
0.558 ± 0.130,55.476 ± 12.355
0.443 ± 0.052,44.745 ± 5.854
0.511 ± 0.099,51.489 ± 9.024
0.638 ± 0.122,63.439 ± 13.157
0.552 ± 0.031,55.360 ± 3.560
0.568 ± 0.043,56.446 ± 4.703
0.640 ± 0.021,63.718 ± 2.661
0.608 ± 0.048,60.163 ± 5.674
0.630 ± 0.046,62.853 ± 5.070
