0.840 ± 0.012,84.105 ± 1.102
0.778 ± 0.041,77.525 ± 4.191
0.805 ± 0.028,80.121 ± 3.491
0.821 ± 0.022,82.133 ± 1.704
0.847 ± 0.011,84.748 ± 0.908
0.848 ± 0.011,84.769 ± 1.006
0.849 ± 0.011,85.252 ± 0.952
0.820 ± 0.014,81.408 ± 1.939
0.824 ± 0.013,82.133 ± 1.550
0.830 ± 0.014,82.817 ± 1.406
0.853 ± 0.009,85.131 ± 0.946
0.854 ± 0.009,85.252 ± 0.854
0.857 ± 0.009,85.352 ± 0.867
0.844 ± 0.009,84.326 ± 1.154
0.845 ± 0.007,84.406 ± 1.069
0.847 ± 0.009,84.789 ± 1.110
0.855 ± 0.007,85.091 ± 0.928
0.856 ± 0.008,85.151 ± 0.921
0.857 ± 0.009,85.352 ± 1.041
0.851 ± 0.007,84.467 ± 1.075
0.851 ± 0.007,84.930 ± 0.812
0.852 ± 0.007,84.990 ± 0.831
0.833 ± 0.006,82.757 ± 2.482
0.836 ± 0.019,83.581 ± 1.556
0.844 ± 0.012,84.608 ± 1.454
0.797 ± 0.034,79.054 ± 3.724
0.810 ± 0.036,80.966 ± 3.809
0.833 ± 0.013,82.978 ± 1.809
0.853 ± 0.008,85.634 ± 1.353
0.854 ± 0.007,85.694 ± 1.318
0.856 ± 0.008,85.775 ± 1.266
0.836 ± 0.008,83.360 ± 1.972
0.839 ± 0.008,83.944 ± 1.654
0.847 ± 0.012,84.628 ± 1.703
0.857 ± 0.008,86.177 ± 1.338
0.858 ± 0.008,86.217 ± 1.580
0.861 ± 0.009,86.479 ± 1.448
0.854 ± 0.008,85.312 ± 1.310
0.853 ± 0.007,85.191 ± 1.400
0.854 ± 0.008,85.553 ± 1.236
0.861 ± 0.010,85.996 ± 1.329
0.864 ± 0.008,86.237 ± 1.311
0.861 ± 0.008,86.378 ± 1.359
0.858 ± 0.007,85.594 ± 1.356
0.859 ± 0.008,85.594 ± 1.260
0.859 ± 0.008,86.016 ± 1.317
0.824 ± 0.017,82.314 ± 2.346
