0.744 ± 0.034,76.382 ± 2.819
0.724 ± 0.037,74.189 ± 3.790
0.702 ± 0.034,71.206 ± 3.573
0.745 ± 0.014,75.614 ± 1.365
0.739 ± 0.012,75.197 ± 1.049
0.726 ± 0.008,73.333 ± 1.283
0.755 ± 0.014,76.776 ± 1.413
0.744 ± 0.016,75.351 ± 1.642
0.731 ± 0.018,73.553 ± 1.967
0.755 ± 0.016,76.820 ± 1.127
0.743 ± 0.011,75.263 ± 1.427
0.737 ± 0.011,74.276 ± 1.937
0.762 ± 0.012,77.500 ± 1.053
0.757 ± 0.015,77.039 ± 0.855
0.752 ± 0.012,76.009 ± 1.435
0.694 ± 0.029,70.680 ± 3.462
0.683 ± 0.024,69.496 ± 1.739
0.667 ± 0.021,67.127 ± 1.841
0.747 ± 0.024,75.680 ± 1.796
0.732 ± 0.029,74.605 ± 2.302
0.717 ± 0.026,72.346 ± 2.389
0.732 ± 0.016,73.750 ± 0.850
0.728 ± 0.012,72.763 ± 2.506
0.716 ± 0.015,71.864 ± 1.435
0.745 ± 0.029,75.746 ± 2.079
0.728 ± 0.035,74.189 ± 2.957
0.702 ± 0.026,71.140 ± 1.848
0.762 ± 0.015,77.412 ± 0.888
0.756 ± 0.015,76.140 ± 1.155
0.749 ± 0.016,76.031 ± 1.248
0.753 ± 0.016,77.149 ± 0.924
0.743 ± 0.014,76.140 ± 0.876
0.736 ± 0.011,74.452 ± 1.694
0.770 ± 0.014,78.772 ± 1.208
0.770 ± 0.015,78.421 ± 1.136
0.764 ± 0.015,77.478 ± 1.217
0.769 ± 0.014,78.509 ± 0.971
0.768 ± 0.016,78.180 ± 0.932
0.765 ± 0.015,77.390 ± 0.775
0.668 ± 0.026,68.070 ± 2.003
0.659 ± 0.021,66.952 ± 2.193
0.660 ± 0.015,66.974 ± 1.588
0.705 ± 0.037,71.623 ± 3.004
0.686 ± 0.036,69.408 ± 2.672
0.667 ± 0.026,67.961 ± 2.042
0.707 ± 0.014,71.886 ± 1.330
0.702 ± 0.013,71.031 ± 1.734
0.691 ± 0.012,69.539 ± 1.796
0.722 ± 0.029,72.851 ± 2.513
0.697 ± 0.028,70.439 ± 2.572
0.674 ± 0.027,68.158 ± 1.973
0.736 ± 0.012,74.320 ± 1.466
0.726 ± 0.014,73.048 ± 1.306
0.716 ± 0.012,72.785 ± 1.321
0.736 ± 0.014,74.759 ± 0.823
0.726 ± 0.013,73.443 ± 1.613
0.721 ± 0.012,72.039 ± 1.725
0.753 ± 0.012,76.228 ± 1.445
0.742 ± 0.014,75.461 ± 1.419
0.733 ± 0.012,73.860 ± 1.319
0.763 ± 0.012,77.083 ± 1.053
0.753 ± 0.014,76.140 ± 0.819
0.743 ± 0.014,74.978 ± 1.215
0.654 ± 0.022,66.250 ± 2.905
0.638 ± 0.022,65.241 ± 2.342
0.650 ± 0.021,65.570 ± 2.078
0.660 ± 0.043,66.140 ± 4.454
0.651 ± 0.038,65.987 ± 4.142
0.644 ± 0.022,65.439 ± 2.954
0.694 ± 0.011,70.000 ± 1.652
0.680 ± 0.016,68.618 ± 1.736
0.675 ± 0.012,68.311 ± 1.442
0.686 ± 0.038,69.276 ± 3.325
0.668 ± 0.034,67.697 ± 3.348
0.655 ± 0.017,65.833 ± 3.138
0.715 ± 0.013,72.412 ± 1.803
0.705 ± 0.014,71.798 ± 1.749
0.700 ± 0.016,70.197 ± 1.915
0.719 ± 0.015,72.566 ± 1.933
0.712 ± 0.011,72.018 ± 0.921
0.701 ± 0.010,70.833 ± 1.792
0.716 ± 0.012,71.886 ± 1.853
0.712 ± 0.013,71.206 ± 1.612
0.703 ± 0.011,70.899 ± 1.827
0.738 ± 0.012,74.737 ± 1.483
0.729 ± 0.013,73.969 ± 1.294
0.717 ± 0.013,72.544 ± 1.251
0.672 ± 0.026,68.596 ± 2.660
0.660 ± 0.019,66.952 ± 2.960
0.640 ± 0.018,65.088 ± 2.061
0.687 ± 0.048,69.912 ± 3.656
0.685 ± 0.036,68.465 ± 2.486
0.663 ± 0.018,66.996 ± 3.559
0.703 ± 0.015,71.447 ± 2.005
0.696 ± 0.012,70.241 ± 2.022
0.683 ± 0.018,69.518 ± 1.693
0.699 ± 0.035,71.162 ± 3.395
0.689 ± 0.034,69.518 ± 2.863
0.668 ± 0.025,67.763 ± 2.582
