0.652 ± 0.015,65.005 ± 1.899
0.647 ± 0.013,64.669 ± 1.912
0.660 ± 0.022,65.754 ± 2.225
0.658 ± 0.018,65.274 ± 2.587
0.653 ± 0.017,65.379 ± 2.319
0.695 ± 0.014,68.742 ± 1.539
0.695 ± 0.010,68.866 ± 1.738
0.690 ± 0.009,68.213 ± 2.364
0.687 ± 0.016,68.184 ± 1.405
0.688 ± 0.013,67.867 ± 1.712
0.687 ± 0.015,68.088 ± 1.727
0.719 ± 0.012,71.326 ± 1.562
0.718 ± 0.011,71.249 ± 1.854
0.713 ± 0.011,70.874 ± 2.105
0.720 ± 0.012,71.489 ± 1.621
0.715 ± 0.010,71.057 ± 1.526
0.710 ± 0.013,70.548 ± 1.712
0.588 ± 0.093,59.059 ± 9.445
0.635 ± 0.101,63.881 ± 8.313
0.689 ± 0.062,68.809 ± 5.390
0.585 ± 0.120,58.453 ± 11.348
0.652 ± 0.117,65.053 ± 11.285
0.718 ± 0.011,71.162 ± 2.081
0.633 ± 0.034,62.373 ± 4.130
0.639 ± 0.042,63.727 ± 4.526
0.647 ± 0.058,64.813 ± 5.333
0.618 ± 0.074,62.363 ± 7.707
0.640 ± 0.069,64.553 ± 6.088
0.660 ± 0.077,65.793 ± 7.713
0.678 ± 0.031,67.416 ± 4.108
0.692 ± 0.029,68.982 ± 2.801
0.696 ± 0.030,69.443 ± 3.195
0.659 ± 0.014,65.187 ± 2.110
0.668 ± 0.036,66.292 ± 3.525
0.676 ± 0.044,67.666 ± 4.713
0.717 ± 0.013,71.451 ± 2.108
0.718 ± 0.010,71.691 ± 2.382
0.709 ± 0.011,70.423 ± 2.279
0.713 ± 0.029,70.913 ± 3.720
0.721 ± 0.020,71.671 ± 2.497
0.710 ± 0.018,70.932 ± 1.938
0.563 ± 0.035,56.782 ± 3.017
0.587 ± 0.050,58.540 ± 4.228
0.591 ± 0.041,58.963 ± 3.211
0.610 ± 0.088,60.913 ± 7.904
0.656 ± 0.019,64.966 ± 2.442
0.660 ± 0.012,65.504 ± 2.191
0.635 ± 0.017,63.256 ± 1.971
0.638 ± 0.019,63.458 ± 2.511
0.631 ± 0.030,62.891 ± 2.452
0.622 ± 0.037,61.979 ± 3.187
0.627 ± 0.038,62.911 ± 3.103
0.631 ± 0.022,62.459 ± 2.625
0.682 ± 0.009,67.406 ± 1.964
0.686 ± 0.011,67.598 ± 1.671
0.678 ± 0.013,67.541 ± 1.926
0.666 ± 0.021,66.503 ± 1.968
0.671 ± 0.016,66.177 ± 2.518
0.669 ± 0.013,66.782 ± 2.112
0.710 ± 0.012,70.567 ± 1.758
0.707 ± 0.011,70.221 ± 1.522
0.705 ± 0.012,69.597 ± 1.899
0.709 ± 0.012,70.134 ± 1.901
0.702 ± 0.013,69.625 ± 1.876
0.701 ± 0.012,69.481 ± 2.312
0.505 ± 0.059,50.778 ± 5.214
