0.708 ± 0.015,71.023 ± 2.123
0.712 ± 0.016,71.519 ± 2.087
0.715 ± 0.017,71.367 ± 1.917
0.704 ± 0.017,70.614 ± 2.108
0.705 ± 0.014,70.562 ± 2.151
0.710 ± 0.013,71.107 ± 2.352
0.709 ± 0.014,70.974 ± 1.958
0.712 ± 0.017,71.180 ± 1.908
0.713 ± 0.014,71.169 ± 2.152
0.704 ± 0.017,70.311 ± 2.352
0.705 ± 0.017,70.262 ± 1.967
0.707 ± 0.016,70.760 ± 2.071
0.711 ± 0.018,70.835 ± 1.689
0.715 ± 0.016,71.206 ± 1.986
0.714 ± 0.015,71.718 ± 2.082
0.696 ± 0.024,69.458 ± 1.770
0.706 ± 0.015,70.163 ± 2.229
0.708 ± 0.016,70.376 ± 2.370
0.710 ± 0.013,70.792 ± 1.976
0.711 ± 0.016,71.047 ± 2.015
0.717 ± 0.017,71.450 ± 1.897
0.704 ± 0.015,70.266 ± 2.064
0.706 ± 0.017,70.665 ± 1.934
0.707 ± 0.016,71.315 ± 2.049
0.709 ± 0.015,70.813 ± 2.026
0.706 ± 0.016,70.893 ± 1.991
0.713 ± 0.012,71.352 ± 2.267
0.700 ± 0.016,70.266 ± 2.048
0.705 ± 0.015,70.715 ± 2.266
0.706 ± 0.014,70.757 ± 2.130
0.698 ± 0.019,69.698 ± 1.466
0.697 ± 0.016,69.867 ± 1.763
0.701 ± 0.020,70.221 ± 1.854
0.693 ± 0.020,69.250 ± 2.517
0.696 ± 0.017,69.140 ± 1.895
0.688 ± 0.022,68.928 ± 2.006
0.678 ± 0.027,67.079 ± 2.401
0.687 ± 0.028,68.211 ± 2.331
0.690 ± 0.026,68.655 ± 2.201
0.673 ± 0.020,66.732 ± 2.256
0.667 ± 0.022,66.498 ± 1.936
0.680 ± 0.026,67.907 ± 1.720
0.671 ± 0.019,67.330 ± 2.696
0.675 ± 0.029,67.796 ± 2.846
0.677 ± 0.028,68.360 ± 3.261
0.695 ± 0.015,69.430 ± 2.584
0.694 ± 0.014,69.649 ± 2.533
0.693 ± 0.014,69.795 ± 2.499
0.629 ± 0.025,62.824 ± 2.265
0.620 ± 0.020,61.779 ± 2.983
0.623 ± 0.038,62.405 ± 3.900
0.655 ± 0.028,65.567 ± 3.890
0.633 ± 0.015,63.272 ± 4.525
0.638 ± 0.033,63.755 ± 2.646
0.632 ± 0.020,63.113 ± 2.333
0.635 ± 0.023,63.673 ± 2.761
0.641 ± 0.024,64.226 ± 2.968
0.615 ± 0.022,61.642 ± 4.511
0.599 ± 0.012,59.470 ± 3.403
0.589 ± 0.021,57.747 ± 3.245
0.665 ± 0.017,66.118 ± 2.491
0.665 ± 0.016,66.412 ± 2.140
0.667 ± 0.017,67.040 ± 2.472
0.618 ± 0.020,61.241 ± 2.905
0.620 ± 0.018,61.777 ± 3.256
0.623 ± 0.018,62.163 ± 3.030
0.693 ± 0.017,69.593 ± 1.979
0.696 ± 0.015,69.915 ± 2.146
0.689 ± 0.030,69.361 ± 1.838
0.695 ± 0.014,69.250 ± 2.415
0.694 ± 0.015,69.602 ± 2.602
0.700 ± 0.014,69.953 ± 2.616
0.692 ± 0.018,69.406 ± 2.190
0.691 ± 0.020,69.773 ± 2.226
0.691 ± 0.020,69.985 ± 2.246
0.691 ± 0.018,69.316 ± 2.154
0.692 ± 0.018,69.531 ± 2.650
0.691 ± 0.017,69.278 ± 2.359
0.638 ± 0.036,64.036 ± 3.775
0.634 ± 0.034,63.540 ± 3.956
0.641 ± 0.033,64.595 ± 3.665
0.690 ± 0.020,69.469 ± 2.173
0.690 ± 0.019,69.666 ± 2.064
0.689 ± 0.018,69.286 ± 2.357
0.656 ± 0.020,65.706 ± 2.646
0.659 ± 0.018,66.168 ± 2.231
0.661 ± 0.018,66.678 ± 2.565
0.612 ± 0.020,61.007 ± 2.806
0.614 ± 0.024,61.267 ± 2.724
0.613 ± 0.019,61.277 ± 2.936
