0.832 ± 0.035,82.703 ± 4.865
0.832 ± 0.044,81.351 ± 9.703
0.853 ± 0.035,83.514 ± 4.595
0.846 ± 0.041,83.243 ± 5.643
0.810 ± 0.060,80.811 ± 7.094
0.846 ± 0.036,81.622 ± 4.650
0.825 ± 0.037,81.622 ± 3.972
0.817 ± 0.065,79.189 ± 8.465
0.842 ± 0.044,82.973 ± 4.018
0.853 ± 0.033,83.514 ± 5.192
0.805 ± 0.078,80.811 ± 5.598
0.807 ± 0.066,79.730 ± 7.763
0.832 ± 0.040,81.081 ± 6.043
0.802 ± 0.065,78.378 ± 8.716
0.803 ± 0.073,78.108 ± 8.919
0.849 ± 0.043,81.892 ± 6.949
0.776 ± 0.088,78.108 ± 10.073
0.751 ± 0.092,77.027 ± 9.613
0.819 ± 0.045,81.622 ± 6.019
0.859 ± 0.042,83.243 ± 6.139
0.861 ± 0.044,84.324 ± 5.771
0.842 ± 0.053,84.054 ± 4.433
0.819 ± 0.072,81.351 ± 5.192
0.812 ± 0.086,81.081 ± 5.128
0.834 ± 0.035,81.892 ± 3.636
0.847 ± 0.038,82.432 ± 5.439
0.846 ± 0.040,83.243 ± 5.771
0.854 ± 0.036,84.324 ± 5.897
0.839 ± 0.043,82.162 ± 6.419
0.834 ± 0.043,82.703 ± 7.272
0.829 ± 0.042,83.243 ± 6.486
0.844 ± 0.053,80.541 ± 7.431
0.847 ± 0.044,81.892 ± 7.649
0.847 ± 0.039,84.054 ± 7.094
0.802 ± 0.071,80.000 ± 6.642
0.808 ± 0.068,80.811 ± 6.778
0.822 ± 0.045,80.811 ± 6.670
0.827 ± 0.062,80.270 ± 9.049
0.820 ± 0.058,81.351 ± 7.967
0.854 ± 0.044,82.703 ± 6.859
0.720 ± 0.053,72.432 ± 7.332
0.785 ± 0.085,76.216 ± 9.654
0.798 ± 0.057,78.649 ± 8.326
0.776 ± 0.128,73.243 ± 13.429
0.771 ± 0.136,75.946 ± 12.471
0.746 ± 0.110,75.135 ± 12.432
0.768 ± 0.115,73.784 ± 11.533
0.754 ± 0.126,72.703 ± 13.210
0.756 ± 0.126,73.514 ± 11.892
0.871 ± 0.039,84.324 ± 4.954
0.853 ± 0.066,83.784 ± 5.921
0.859 ± 0.040,85.135 ± 5.303
0.834 ± 0.084,81.351 ± 6.559
0.864 ± 0.039,84.865 ± 5.013
0.851 ± 0.045,85.135 ± 5.303
0.878 ± 0.045,83.784 ± 7.151
0.866 ± 0.049,85.405 ± 5.156
0.858 ± 0.053,85.405 ± 6.187
0.861 ± 0.055,81.622 ± 6.373
0.859 ± 0.040,82.162 ± 7.272
0.846 ± 0.048,82.973 ± 6.401
0.868 ± 0.066,82.973 ± 8.202
0.866 ± 0.056,83.784 ± 7.644
0.846 ± 0.059,84.865 ± 5.946
0.829 ± 0.057,81.622 ± 5.897
0.859 ± 0.039,82.162 ± 7.171
0.842 ± 0.047,84.054 ± 7.094
0.769 ± 0.117,74.595 ± 12.688
0.719 ± 0.133,70.000 ± 12.817
0.725 ± 0.127,72.162 ± 12.388
0.751 ± 0.107,73.243 ± 15.687
0.712 ± 0.116,69.459 ± 12.794
0.710 ± 0.123,71.081 ± 12.329
0.831 ± 0.090,78.919 ± 10.932
0.836 ± 0.081,80.270 ± 9.748
0.808 ± 0.097,80.270 ± 8.551
0.834 ± 0.070,81.622 ± 6.598
0.829 ± 0.061,80.000 ± 8.304
0.808 ± 0.077,79.189 ± 11.212
0.849 ± 0.065,83.514 ± 3.907
0.876 ± 0.049,84.324 ± 5.643
0.846 ± 0.060,82.973 ± 4.689
0.858 ± 0.042,83.514 ± 4.902
0.844 ± 0.041,84.595 ± 6.169
0.849 ± 0.050,84.324 ± 5.241
0.861 ± 0.035,83.514 ± 5.466
0.868 ± 0.041,83.784 ± 4.009
0.863 ± 0.042,84.054 ± 5.049
0.839 ± 0.050,80.541 ± 7.232
0.864 ± 0.045,84.054 ± 5.466
0.851 ± 0.042,85.135 ± 4.400
0.792 ± 0.138,76.216 ± 12.607
0.754 ± 0.151,73.243 ± 15.826
0.719 ± 0.121,71.622 ± 14.057
0.764 ± 0.139,72.162 ± 14.355
0.766 ± 0.135,72.432 ± 14.444
0.749 ± 0.092,76.216 ± 12.075
0.822 ± 0.083,79.459 ± 8.216
0.861 ± 0.064,82.703 ± 6.187
0.834 ± 0.079,83.514 ± 8.149
0.837 ± 0.075,80.000 ± 6.964
0.863 ± 0.040,84.324 ± 5.643
0.854 ± 0.036,84.324 ± 4.954
0.875 ± 0.048,83.784 ± 5.669
0.868 ± 0.045,84.324 ± 5.378
0.873 ± 0.050,85.135 ± 5.020
0.851 ± 0.037,84.595 ± 6.286
0.847 ± 0.044,82.703 ± 5.565
0.854 ± 0.037,83.243 ± 5.378
0.864 ± 0.048,83.514 ± 7.297
0.871 ± 0.052,84.054 ± 5.853
0.856 ± 0.051,85.405 ± 5.695
0.829 ± 0.057,81.351 ± 5.977
0.864 ± 0.038,82.432 ± 6.537
0.842 ± 0.047,83.514 ± 7.495
0.780 ± 0.067,74.324 ± 7.572
0.786 ± 0.056,75.946 ± 6.559
0.793 ± 0.053,75.946 ± 8.413
0.769 ± 0.067,74.595 ± 8.126
0.785 ± 0.055,75.405 ± 5.192
0.776 ± 0.065,75.946 ± 4.433
0.747 ± 0.055,72.432 ± 8.444
0.769 ± 0.055,74.324 ± 7.377
0.766 ± 0.057,72.703 ± 7.094
0.732 ± 0.060,70.811 ± 7.720
0.747 ± 0.068,72.162 ± 7.257
0.749 ± 0.066,72.973 ± 6.509
0.678 ± 0.064,69.189 ± 7.944
0.693 ± 0.046,67.568 ± 5.539
0.715 ± 0.038,71.351 ± 9.061
0.705 ± 0.063,68.649 ± 8.898
0.710 ± 0.051,70.270 ± 6.943
0.731 ± 0.058,70.541 ± 7.397
0.649 ± 0.044,67.027 ± 4.490
0.656 ± 0.041,65.946 ± 4.865
0.664 ± 0.041,68.108 ± 5.771
0.644 ± 0.042,66.757 ± 7.053
0.663 ± 0.048,66.757 ± 6.949
