0.749 ± 0.012,75.943 ± 1.591
0.739 ± 0.021,75.175 ± 2.225
0.767 ± 0.016,77.982 ± 1.001
0.762 ± 0.014,77.500 ± 1.291
0.756 ± 0.016,77.346 ± 0.760
0.768 ± 0.015,78.684 ± 0.739
0.769 ± 0.017,78.092 ± 0.846
0.765 ± 0.016,77.697 ± 0.956
0.710 ± 0.032,71.447 ± 2.609
0.688 ± 0.040,69.364 ± 3.137
0.668 ± 0.024,68.202 ± 2.957
0.741 ± 0.026,75.526 ± 2.254
0.730 ± 0.027,74.254 ± 2.560
0.715 ± 0.032,72.303 ± 2.758
0.746 ± 0.013,75.789 ± 1.353
0.738 ± 0.017,74.342 ± 2.115
0.731 ± 0.014,74.408 ± 2.243
0.747 ± 0.022,75.899 ± 2.107
0.730 ± 0.031,74.452 ± 2.814
0.715 ± 0.031,72.390 ± 2.631
0.769 ± 0.017,78.180 ± 0.822
0.765 ± 0.020,78.202 ± 0.878
0.756 ± 0.015,76.908 ± 1.005
0.758 ± 0.015,77.237 ± 0.843
0.754 ± 0.017,76.447 ± 1.237
0.747 ± 0.010,75.439 ± 1.790
0.777 ± 0.019,78.991 ± 1.096
0.774 ± 0.018,78.684 ± 1.078
0.769 ± 0.015,78.026 ± 0.813
0.777 ± 0.016,78.860 ± 0.987
0.774 ± 0.016,78.838 ± 0.780
0.769 ± 0.017,78.399 ± 1.178
0.659 ± 0.018,66.798 ± 3.086
0.654 ± 0.022,66.886 ± 2.822
0.647 ± 0.023,65.461 ± 2.526
0.698 ± 0.043,70.548 ± 3.672
0.683 ± 0.043,69.254 ± 3.624
0.672 ± 0.034,67.325 ± 3.238
0.718 ± 0.013,72.171 ± 1.750
0.712 ± 0.018,71.535 ± 3.170
0.697 ± 0.014,70.197 ± 2.006
0.715 ± 0.032,72.303 ± 3.005
0.690 ± 0.034,69.825 ± 3.373
0.670 ± 0.026,67.763 ± 3.092
0.751 ± 0.019,76.184 ± 0.947
0.744 ± 0.020,75.219 ± 1.380
0.732 ± 0.013,73.772 ± 1.639
0.742 ± 0.012,75.285 ± 1.435
0.734 ± 0.011,74.189 ± 1.816
0.719 ± 0.014,72.171 ± 1.984
