0.735 ± 0.019,75.022 ± 1.580
0.714 ± 0.020,72.829 ± 3.786
0.753 ± 0.018,76.667 ± 1.639
0.737 ± 0.019,75.110 ± 1.917
0.725 ± 0.020,73.553 ± 1.639
0.640 ± 0.055,64.846 ± 6.528
0.632 ± 0.031,64.408 ± 4.222
0.650 ± 0.031,66.228 ± 5.012
0.673 ± 0.109,68.421 ± 11.289
0.692 ± 0.077,70.592 ± 7.956
0.689 ± 0.071,69.715 ± 7.297
0.681 ± 0.020,69.671 ± 2.695
0.674 ± 0.018,68.684 ± 3.567
0.669 ± 0.025,68.224 ± 3.704
0.693 ± 0.059,70.592 ± 5.597
0.665 ± 0.048,67.127 ± 5.642
0.636 ± 0.035,64.342 ± 3.940
0.720 ± 0.015,72.851 ± 1.358
0.714 ± 0.011,72.873 ± 1.189
0.710 ± 0.012,72.325 ± 1.393
0.713 ± 0.038,72.237 ± 3.764
0.688 ± 0.029,69.430 ± 4.056
0.668 ± 0.018,67.829 ± 2.743
0.746 ± 0.014,75.702 ± 1.322
0.742 ± 0.014,75.439 ± 1.721
0.731 ± 0.013,74.518 ± 0.945
0.732 ± 0.010,74.364 ± 1.175
0.729 ± 0.012,73.969 ± 1.732
0.716 ± 0.007,73.092 ± 1.455
0.663 ± 0.034,67.325 ± 4.932
0.662 ± 0.025,66.798 ± 4.079
0.675 ± 0.032,68.268 ± 4.210
0.688 ± 0.046,69.474 ± 4.557
0.670 ± 0.037,67.697 ± 3.704
0.663 ± 0.030,66.842 ± 3.356
0.687 ± 0.019,69.101 ± 3.404
0.685 ± 0.019,69.956 ± 2.462
0.683 ± 0.012,69.079 ± 2.836
0.671 ± 0.052,67.741 ± 5.982
0.662 ± 0.039,66.667 ± 4.523
0.670 ± 0.029,67.675 ± 3.845
0.703 ± 0.014,71.425 ± 1.902
0.701 ± 0.011,71.184 ± 2.224
0.698 ± 0.016,70.439 ± 2.345
0.670 ± 0.016,67.522 ± 2.433
0.659 ± 0.023,66.250 ± 3.827
0.668 ± 0.018,67.456 ± 3.277
0.727 ± 0.015,74.079 ± 0.903
0.725 ± 0.013,73.553 ± 1.570
0.714 ± 0.013,72.456 ± 2.379
0.711 ± 0.010,72.368 ± 1.776
0.707 ± 0.013,71.974 ± 1.596
0.700 ± 0.013,71.294 ± 2.431
0.667 ± 0.041,67.632 ± 6.367
0.659 ± 0.036,66.952 ± 5.365
0.657 ± 0.038,66.338 ± 5.286
0.617 ± 0.090,62.588 ± 9.556
0.628 ± 0.052,63.399 ± 5.302
0.633 ± 0.035,63.706 ± 4.150
0.672 ± 0.017,67.763 ± 3.772
0.680 ± 0.029,68.684 ± 3.969
0.678 ± 0.024,69.430 ± 3.186
0.666 ± 0.057,67.083 ± 6.270
0.650 ± 0.044,65.351 ± 4.401
0.645 ± 0.030,65.110 ± 3.920
0.684 ± 0.019,69.474 ± 2.135
0.680 ± 0.017,68.026 ± 3.095
0.677 ± 0.014,68.750 ± 2.385
0.694 ± 0.037,69.825 ± 4.629
0.669 ± 0.028,67.018 ± 4.578
0.651 ± 0.015,65.768 ± 3.608
0.687 ± 0.026,69.320 ± 4.136
0.685 ± 0.024,69.364 ± 3.706
0.672 ± 0.021,67.917 ± 2.682
0.707 ± 0.018,71.711 ± 2.504
0.693 ± 0.024,69.781 ± 3.575
0.678 ± 0.020,67.719 ± 2.742
0.659 ± 0.026,66.118 ± 5.216
0.665 ± 0.028,67.237 ± 4.103
0.668 ± 0.031,67.061 ± 3.438
0.646 ± 0.091,65.110 ± 9.422
0.660 ± 0.036,66.732 ± 4.419
0.649 ± 0.034,65.285 ± 3.722
0.682 ± 0.018,69.430 ± 3.906
0.679 ± 0.020,68.860 ± 3.725
0.684 ± 0.010,69.934 ± 3.350
0.662 ± 0.041,67.412 ± 5.304
0.659 ± 0.041,66.732 ± 5.364
0.658 ± 0.036,66.096 ± 3.913
0.700 ± 0.018,70.965 ± 2.083
0.697 ± 0.013,70.482 ± 3.041
0.694 ± 0.015,70.504 ± 3.091
0.668 ± 0.019,67.807 ± 3.524
0.668 ± 0.019,66.952 ± 4.251
0.657 ± 0.016,66.162 ± 4.046
0.724 ± 0.016,73.575 ± 1.609
0.719 ± 0.016,72.939 ± 1.609
0.709 ± 0.014,72.390 ± 0.841
0.713 ± 0.016,71.864 ± 1.721
0.707 ± 0.013,71.447 ± 1.611
0.697 ± 0.011,70.570 ± 2.173
0.692 ± 0.057,70.000 ± 6.424
0.676 ± 0.048,69.123 ± 5.245
0.685 ± 0.019,69.890 ± 3.469
0.666 ± 0.107,67.127 ± 12.044
0.715 ± 0.089,72.763 ± 9.448
0.703 ± 0.076,71.886 ± 8.489
0.709 ± 0.032,72.456 ± 3.381
0.709 ± 0.023,71.974 ± 2.845
0.692 ± 0.016,70.768 ± 1.979
0.713 ± 0.058,73.333 ± 5.264
0.707 ± 0.049,72.346 ± 4.831
0.680 ± 0.039,69.627 ± 4.191
0.732 ± 0.018,74.605 ± 1.751
0.726 ± 0.014,74.211 ± 1.066
0.717 ± 0.011,73.048 ± 1.389
0.725 ± 0.035,74.101 ± 3.954
0.717 ± 0.034,72.982 ± 3.907
0.703 ± 0.023,72.259 ± 2.724
0.756 ± 0.013,76.754 ± 1.513
0.751 ± 0.011,76.667 ± 0.715
0.743 ± 0.012,75.504 ± 1.024
0.745 ± 0.020,75.833 ± 1.655
0.736 ± 0.020,74.693 ± 2.393
0.729 ± 0.017,74.386 ± 2.110
0.691 ± 0.064,70.044 ± 6.707
0.704 ± 0.064,71.689 ± 7.085
0.712 ± 0.056,72.127 ± 6.366
0.619 ± 0.085,63.399 ± 9.972
0.667 ± 0.112,67.654 ± 12.966
0.740 ± 0.066,74.846 ± 6.929
