0.819 ± 0.050,81.351 ± 5.853
0.814 ± 0.050,80.811 ± 6.333
0.827 ± 0.059,81.351 ± 7.967
0.819 ± 0.060,81.351 ± 6.778
0.822 ± 0.053,80.541 ± 5.378
0.846 ± 0.049,83.243 ± 5.643
0.846 ± 0.054,83.784 ± 6.281
0.832 ± 0.044,81.892 ± 5.135
0.825 ± 0.058,82.162 ± 7.758
0.817 ± 0.056,81.351 ± 6.447
0.814 ± 0.055,79.459 ± 8.816
0.824 ± 0.057,81.892 ± 5.676
0.831 ± 0.056,81.892 ± 6.515
0.829 ± 0.055,82.162 ± 6.859
0.836 ± 0.044,82.162 ± 5.565
0.824 ± 0.046,81.622 ± 5.241
0.808 ± 0.067,80.541 ± 7.232
0.797 ± 0.093,80.811 ± 8.238
0.783 ± 0.115,77.297 ± 8.391
0.815 ± 0.082,80.270 ± 9.209
0.778 ± 0.104,77.297 ± 8.216
0.780 ± 0.108,78.108 ± 8.238
0.802 ± 0.055,80.270 ± 6.169
0.831 ± 0.072,80.270 ± 8.465
0.820 ± 0.074,80.270 ± 9.129
0.824 ± 0.056,79.730 ± 5.828
0.812 ± 0.069,79.459 ± 9.061
0.812 ± 0.065,78.919 ± 7.232
0.802 ± 0.079,77.568 ± 9.823
0.827 ± 0.051,82.432 ± 5.701
0.829 ± 0.062,81.892 ± 5.676
0.825 ± 0.057,80.000 ± 5.695
0.820 ± 0.064,79.459 ± 8.478
0.814 ± 0.069,80.541 ± 6.708
0.802 ± 0.069,78.649 ± 7.297
0.832 ± 0.054,82.162 ± 5.695
0.825 ± 0.047,81.351 ± 5.192
0.819 ± 0.065,81.081 ± 6.396
0.819 ± 0.055,80.000 ± 5.946
0.810 ± 0.061,79.189 ± 6.286
0.820 ± 0.053,79.730 ± 7.277
0.808 ± 0.114,81.622 ± 9.189
0.810 ± 0.113,80.270 ± 9.823
0.783 ± 0.129,80.000 ± 8.216
0.795 ± 0.113,80.541 ± 9.268
0.783 ± 0.108,80.270 ± 8.551
0.776 ± 0.114,78.108 ± 8.585
0.864 ± 0.051,83.514 ± 4.595
0.829 ± 0.091,82.973 ± 5.412
0.856 ± 0.050,84.324 ± 3.972
0.831 ± 0.050,82.973 ± 7.553
0.842 ± 0.045,82.432 ± 4.400
0.841 ± 0.043,83.514 ± 4.751
0.869 ± 0.039,84.865 ± 5.695
0.847 ± 0.050,83.243 ± 4.490
0.849 ± 0.049,83.784 ± 4.187
0.849 ± 0.048,83.514 ± 4.751
0.844 ± 0.047,84.865 ± 3.666
0.841 ± 0.050,83.514 ± 4.595
0.856 ± 0.052,83.243 ± 3.972
0.842 ± 0.060,83.243 ± 5.099
0.846 ± 0.068,83.514 ± 4.433
0.837 ± 0.038,81.622 ± 4.490
0.836 ± 0.049,82.432 ± 4.720
0.831 ± 0.046,81.351 ± 4.090
0.800 ± 0.114,81.622 ± 9.730
0.807 ± 0.105,81.892 ± 8.804
0.798 ± 0.119,79.459 ± 9.533
0.798 ± 0.117,80.000 ± 8.898
0.797 ± 0.113,81.081 ± 9.819
0.786 ± 0.105,79.730 ± 8.984
0.810 ± 0.107,82.703 ± 7.944
0.822 ± 0.094,84.054 ± 7.687
0.831 ± 0.081,84.595 ± 5.135
0.827 ± 0.092,82.162 ± 8.478
0.812 ± 0.127,81.351 ± 9.552
0.805 ± 0.112,80.270 ± 9.288
0.836 ± 0.075,83.243 ± 7.130
0.866 ± 0.040,84.324 ± 4.324
0.851 ± 0.040,84.595 ± 4.991
0.849 ± 0.041,84.054 ± 5.192
0.844 ± 0.047,82.973 ± 5.135
0.836 ± 0.047,81.892 ± 4.366
0.851 ± 0.043,84.595 ± 4.991
0.861 ± 0.049,85.676 ± 4.991
0.851 ± 0.053,83.784 ± 4.681
0.829 ± 0.034,80.270 ± 5.275
0.842 ± 0.049,82.162 ± 5.822
0.841 ± 0.049,82.703 ± 5.156
0.797 ± 0.109,80.541 ± 9.109
0.800 ± 0.111,81.892 ± 9.049
0.793 ± 0.098,78.919 ± 10.026
0.839 ± 0.054,81.622 ± 5.512
0.795 ± 0.113,80.270 ± 8.720
0.769 ± 0.109,76.757 ± 12.279
0.856 ± 0.050,82.973 ± 3.832
0.815 ± 0.077,81.622 ± 7.332
0.849 ± 0.037,83.784 ± 4.358
0.815 ± 0.115,80.270 ± 9.444
