0.853 ± 0.046,85.098 ± 3.741
0.850 ± 0.044,85.686 ± 3.827
0.836 ± 0.055,84.118 ± 3.867
0.844 ± 0.046,85.490 ± 3.529
0.829 ± 0.043,83.725 ± 4.210
0.825 ± 0.045,83.529 ± 3.186
0.863 ± 0.041,86.667 ± 3.902
0.841 ± 0.039,85.882 ± 3.257
0.840 ± 0.042,85.686 ± 3.513
0.851 ± 0.043,85.882 ± 3.802
0.833 ± 0.039,85.294 ± 3.847
0.830 ± 0.041,84.118 ± 3.767
0.846 ± 0.041,87.255 ± 2.519
0.836 ± 0.045,86.471 ± 2.549
0.833 ± 0.048,85.686 ± 2.328
0.843 ± 0.045,85.490 ± 2.801
0.839 ± 0.042,84.706 ± 3.257
0.833 ± 0.040,83.922 ± 3.486
0.855 ± 0.043,87.451 ± 3.941
0.859 ± 0.044,86.863 ± 3.827
0.845 ± 0.043,86.667 ± 2.112
0.861 ± 0.043,86.275 ± 3.508
0.847 ± 0.043,85.686 ± 3.168
0.836 ± 0.041,85.490 ± 2.935
0.854 ± 0.041,87.255 ± 3.746
0.854 ± 0.043,86.667 ± 3.373
0.846 ± 0.041,86.078 ± 2.967
0.846 ± 0.041,86.471 ± 3.557
0.851 ± 0.042,85.882 ± 3.594
0.843 ± 0.043,85.294 ± 2.807
0.864 ± 0.039,86.667 ± 3.137
0.860 ± 0.043,86.863 ± 3.044
0.856 ± 0.045,87.059 ± 4.038
0.860 ± 0.041,86.863 ± 3.287
0.845 ± 0.045,86.667 ± 3.373
0.846 ± 0.049,85.490 ± 4.038
0.863 ± 0.047,87.451 ± 4.224
0.854 ± 0.048,87.255 ± 2.807
0.853 ± 0.044,85.686 ± 3.044
0.856 ± 0.042,87.059 ± 3.637
0.854 ± 0.046,86.471 ± 3.216
0.840 ± 0.043,86.078 ± 3.557
0.859 ± 0.042,86.471 ± 3.447
0.855 ± 0.049,86.275 ± 4.113
0.847 ± 0.044,85.294 ± 3.192
0.851 ± 0.045,86.667 ± 2.745
0.840 ± 0.045,85.490 ± 3.842
0.838 ± 0.047,85.098 ± 3.186
0.854 ± 0.040,86.667 ± 3.486
0.853 ± 0.045,86.667 ± 3.594
0.850 ± 0.044,86.078 ± 3.557
0.853 ± 0.045,86.471 ± 3.663
0.841 ± 0.054,85.490 ± 3.063
0.844 ± 0.042,84.902 ± 3.402
0.858 ± 0.035,87.059 ± 3.637
0.851 ± 0.041,86.078 ± 2.835
0.851 ± 0.046,86.275 ± 3.038
0.847 ± 0.039,86.275 ± 3.508
0.846 ± 0.047,85.882 ± 3.012
0.840 ± 0.045,85.294 ± 2.667
0.856 ± 0.040,86.863 ± 3.725
0.849 ± 0.043,86.471 ± 3.767
0.853 ± 0.040,85.294 ± 3.192
0.849 ± 0.046,85.686 ± 3.621
0.846 ± 0.055,86.667 ± 2.287
0.841 ± 0.043,85.490 ± 3.842
0.861 ± 0.041,86.667 ± 4.278
0.859 ± 0.040,86.275 ± 2.320
0.846 ± 0.048,86.078 ± 3.767
0.853 ± 0.045,86.471 ± 3.333
0.845 ± 0.049,85.686 ± 2.488
0.840 ± 0.045,85.294 ± 3.310
0.859 ± 0.040,85.882 ± 3.902
0.863 ± 0.045,86.078 ± 4.424
0.845 ± 0.040,85.686 ± 3.287
0.854 ± 0.045,85.882 ± 3.012
0.847 ± 0.044,85.490 ± 3.304
0.838 ± 0.044,85.098 ± 2.935
0.855 ± 0.043,85.882 ± 4.094
0.856 ± 0.043,87.059 ± 3.529
0.851 ± 0.040,86.275 ± 3.720
0.845 ± 0.047,86.863 ± 3.402
0.848 ± 0.050,86.863 ± 3.402
0.841 ± 0.045,85.098 ± 3.186
0.851 ± 0.044,85.490 ± 3.063
0.855 ± 0.044,86.863 ± 3.926
0.857 ± 0.041,86.667 ± 3.700
0.857 ± 0.042,87.059 ± 3.419
0.846 ± 0.053,85.686 ± 3.044
0.843 ± 0.047,85.686 ± 3.287
0.787 ± 0.041,79.216 ± 4.402
0.791 ± 0.035,81.373 ± 2.941
0.795 ± 0.036,80.392 ± 3.822
0.785 ± 0.030,79.608 ± 3.842
0.784 ± 0.036,79.412 ± 3.069
0.789 ± 0.027,79.608 ± 3.186
0.784 ± 0.034,79.804 ± 5.117
0.785 ± 0.032,79.412 ± 4.577
0.796 ± 0.029,80.980 ± 3.513
0.782 ± 0.032,79.412 ± 3.069
0.786 ± 0.028,79.804 ± 4.023
0.791 ± 0.026,80.196 ± 3.867
0.786 ± 0.029,79.020 ± 4.886
0.775 ± 0.038,79.608 ± 4.898
0.800 ± 0.038,80.784 ± 3.999
0.782 ± 0.030,79.412 ± 4.743
0.790 ± 0.032,80.784 ± 3.902
0.791 ± 0.022,80.196 ± 4.246
0.774 ± 0.035,79.608 ± 4.224
0.778 ± 0.032,79.608 ± 4.738
0.789 ± 0.031,80.980 ± 4.023
0.783 ± 0.032,79.412 ± 4.136
0.783 ± 0.029,80.000 ± 4.540
0.787 ± 0.031,80.392 ± 4.018
0.802 ± 0.035,81.373 ± 2.941
0.796 ± 0.033,81.176 ± 2.801
0.806 ± 0.031,80.784 ± 2.745
0.799 ± 0.028,80.784 ± 2.287
0.795 ± 0.032,80.196 ± 2.696
0.791 ± 0.029,79.216 ± 3.419
0.801 ± 0.030,81.373 ± 2.941
0.801 ± 0.028,81.569 ± 3.063
0.798 ± 0.034,80.784 ± 3.802
0.801 ± 0.031,81.373 ± 2.361
0.795 ± 0.029,80.784 ± 3.373
0.791 ± 0.032,80.784 ± 3.257
0.804 ± 0.024,80.980 ± 3.168
0.796 ± 0.033,82.157 ± 3.216
0.796 ± 0.029,82.157 ± 3.094
0.805 ± 0.028,81.373 ± 2.941
0.794 ± 0.031,80.784 ± 2.882
0.796 ± 0.029,81.765 ± 3.513
0.800 ± 0.025,81.176 ± 3.637
0.795 ± 0.027,81.176 ± 3.741
0.795 ± 0.027,80.784 ± 3.802
0.799 ± 0.030,81.765 ± 2.488
0.798 ± 0.028,81.765 ± 2.488
0.795 ± 0.028,80.784 ± 3.486
0.785 ± 0.036,79.412 ± 4.318
0.785 ± 0.030,79.804 ± 3.402
0.786 ± 0.029,81.373 ± 3.642
0.786 ± 0.031,79.020 ± 3.513
0.783 ± 0.021,78.431 ± 3.616
0.789 ± 0.031,79.020 ± 3.827
0.780 ± 0.038,79.412 ± 4.743
0.784 ± 0.032,79.608 ± 4.657
0.790 ± 0.041,80.392 ± 3.616
0.784 ± 0.034,79.216 ± 3.741
0.785 ± 0.031,80.000 ± 3.373
0.775 ± 0.027,79.020 ± 4.561
0.780 ± 0.040,79.412 ± 4.980
0.774 ± 0.036,79.412 ± 4.318
0.785 ± 0.027,80.000 ± 4.367
0.785 ± 0.029,79.412 ± 4.902
0.784 ± 0.027,79.608 ± 3.741
0.785 ± 0.027,80.000 ± 4.187
0.781 ± 0.030,79.412 ± 4.902
0.781 ± 0.029,79.608 ± 4.488
0.780 ± 0.032,80.392 ± 3.922
0.779 ± 0.030,78.824 ± 5.098
0.788 ± 0.027,79.608 ± 4.573
0.785 ± 0.029,79.804 ± 4.644
0.848 ± 0.044,86.078 ± 4.061
0.845 ± 0.047,85.294 ± 3.535
0.829 ± 0.047,85.294 ± 3.746
0.840 ± 0.042,85.294 ± 3.535
0.834 ± 0.042,83.725 ± 3.827
0.829 ± 0.042,83.333 ± 3.535
0.851 ± 0.045,85.686 ± 3.926
0.849 ± 0.045,85.490 ± 3.637
0.834 ± 0.047,84.314 ± 3.281
0.840 ± 0.046,84.902 ± 3.827
0.823 ± 0.048,85.098 ± 3.741
0.828 ± 0.052,83.725 ± 3.402
0.849 ± 0.042,85.686 ± 3.926
0.843 ± 0.043,86.078 ± 3.216
0.835 ± 0.040,84.902 ± 2.915
0.836 ± 0.050,85.098 ± 3.419
0.835 ± 0.044,84.706 ± 4.367
0.824 ± 0.040,83.725 ± 3.168
0.844 ± 0.052,87.059 ± 2.511
0.847 ± 0.042,86.667 ± 3.012
0.840 ± 0.036,84.902 ± 3.725
0.844 ± 0.047,85.882 ± 3.137
0.836 ± 0.045,85.294 ± 3.946
0.829 ± 0.043,84.118 ± 2.696
0.840 ± 0.041,85.882 ± 2.449
0.834 ± 0.046,85.686 ± 2.780
0.835 ± 0.043,84.314 ± 3.038
0.830 ± 0.044,84.314 ± 3.508
0.830 ± 0.044,84.706 ± 3.257
0.828 ± 0.041,83.725 ± 3.402
0.846 ± 0.038,85.882 ± 3.137
0.844 ± 0.038,84.314 ± 3.720
0.839 ± 0.043,83.725 ± 3.287
0.840 ± 0.044,84.706 ± 4.094
0.834 ± 0.038,84.314 ± 3.508
0.834 ± 0.042,83.922 ± 3.594
0.849 ± 0.044,85.686 ± 2.488
0.843 ± 0.041,85.882 ± 3.137
0.839 ± 0.045,84.314 ± 3.281
0.841 ± 0.044,85.294 ± 3.535
0.835 ± 0.041,84.706 ± 2.882
0.831 ± 0.038,84.314 ± 3.281
0.849 ± 0.039,86.471 ± 3.216
0.846 ± 0.045,85.098 ± 2.511
0.841 ± 0.042,84.314 ± 3.616
0.839 ± 0.048,84.902 ± 3.287
0.831 ± 0.040,85.098 ± 3.186
0.834 ± 0.042,83.922 ± 2.601
0.848 ± 0.034,86.078 ± 3.333
0.850 ± 0.041,85.490 ± 3.637
0.843 ± 0.044,83.922 ± 3.257
0.838 ± 0.043,84.902 ± 3.621
0.831 ± 0.043,85.098 ± 3.063
0.821 ± 0.043,84.314 ± 3.281
0.845 ± 0.042,85.490 ± 3.419
0.841 ± 0.039,84.902 ± 3.725
0.833 ± 0.045,84.510 ± 3.447
0.844 ± 0.042,85.294 ± 3.535
0.833 ± 0.043,84.314 ± 3.508
0.826 ± 0.048,83.922 ± 3.137
0.849 ± 0.050,86.471 ± 2.835
0.844 ± 0.041,86.078 ± 3.333
0.845 ± 0.043,84.902 ± 4.023
0.849 ± 0.043,85.294 ± 3.310
0.836 ± 0.046,84.902 ± 3.725
0.826 ± 0.047,84.118 ± 3.867
0.853 ± 0.041,87.255 ± 2.519
0.849 ± 0.049,86.667 ± 2.745
0.836 ± 0.046,86.078 ± 2.549
0.841 ± 0.046,85.686 ± 3.827
0.840 ± 0.037,84.706 ± 3.594
0.829 ± 0.043,84.118 ± 2.967
0.856 ± 0.040,87.059 ± 4.314
0.859 ± 0.044,85.098 ± 3.741
0.848 ± 0.040,86.863 ± 2.638
0.853 ± 0.046,86.078 ± 3.965
0.841 ± 0.045,86.078 ± 2.835
0.836 ± 0.042,84.118 ± 2.967
0.856 ± 0.042,86.667 ± 2.882
0.855 ± 0.040,86.863 ± 3.402
0.860 ± 0.046,85.882 ± 3.486
0.851 ± 0.047,87.059 ± 3.419
0.849 ± 0.041,86.078 ± 3.663
0.839 ± 0.049,85.098 ± 2.353
0.861 ± 0.044,88.235 ± 2.908
0.863 ± 0.034,86.667 ± 3.700
0.853 ± 0.040,86.275 ± 3.038
0.851 ± 0.042,85.882 ± 3.594
0.845 ± 0.041,86.863 ± 3.044
0.839 ± 0.043,84.902 ± 3.402
0.861 ± 0.042,87.059 ± 3.186
0.863 ± 0.047,87.451 ± 3.637
