0.841 ± 0.057,82.432 ± 5.439
0.837 ± 0.061,81.081 ± 7.644
0.847 ± 0.050,84.054 ± 5.192
0.856 ± 0.042,85.135 ± 5.952
0.841 ± 0.055,84.595 ± 6.735
0.846 ± 0.066,84.595 ± 6.049
0.842 ± 0.047,83.514 ± 5.977
0.844 ± 0.060,82.162 ± 6.642
0.849 ± 0.054,85.405 ± 6.419
0.853 ± 0.054,85.405 ± 6.187
0.854 ± 0.058,83.784 ± 5.669
0.844 ± 0.045,84.324 ± 5.512
0.837 ± 0.057,83.784 ± 6.396
0.841 ± 0.059,82.973 ± 6.401
0.851 ± 0.051,83.784 ± 5.405
0.844 ± 0.059,84.054 ± 6.098
0.842 ± 0.062,82.703 ± 4.865
0.837 ± 0.055,84.595 ± 5.135
0.836 ± 0.062,81.081 ± 5.921
0.824 ± 0.077,81.351 ± 6.670
0.853 ± 0.042,86.216 ± 4.265
0.858 ± 0.052,85.405 ± 5.296
0.827 ± 0.085,82.703 ± 5.946
0.836 ± 0.069,83.243 ± 6.708
0.827 ± 0.062,81.622 ± 7.130
0.815 ± 0.085,79.459 ± 6.531
0.858 ± 0.061,84.865 ± 4.712
0.854 ± 0.053,84.595 ± 6.515
0.839 ± 0.064,83.784 ± 6.620
0.849 ± 0.049,84.595 ± 5.927
0.837 ± 0.064,83.784 ± 6.943
0.824 ± 0.069,80.270 ± 5.412
0.851 ± 0.069,84.595 ± 6.169
0.842 ± 0.061,82.703 ± 6.304
0.829 ± 0.070,83.243 ± 4.804
0.841 ± 0.061,83.784 ± 5.128
0.831 ± 0.058,81.081 ± 7.352
0.825 ± 0.065,80.541 ± 6.139
0.871 ± 0.053,85.135 ± 5.952
0.864 ± 0.036,86.757 ± 5.598
0.858 ± 0.058,84.865 ± 6.531
0.844 ± 0.048,84.595 ± 5.275
0.846 ± 0.054,84.054 ± 5.853
0.841 ± 0.065,84.324 ± 5.643
0.864 ± 0.054,85.405 ± 5.432
0.868 ± 0.051,85.676 ± 5.676
0.846 ± 0.060,85.135 ± 5.439
0.859 ± 0.054,84.324 ± 6.139
0.849 ± 0.052,84.595 ± 6.169
0.837 ± 0.052,84.054 ± 5.331
0.858 ± 0.061,85.676 ± 6.735
0.851 ± 0.056,86.216 ± 4.433
0.856 ± 0.059,84.324 ± 6.486
0.858 ± 0.054,85.135 ± 5.303
