0.756 ± 0.088,72.703 ± 8.058
0.744 ± 0.078,72.162 ± 7.930
0.741 ± 0.076,71.081 ± 7.649
0.749 ± 0.089,73.243 ± 9.241
0.724 ± 0.091,71.081 ± 8.291
0.722 ± 0.075,70.811 ± 7.529
0.749 ± 0.082,71.892 ± 7.663
0.725 ± 0.076,70.811 ± 7.130
0.719 ± 0.073,70.000 ± 7.687
0.717 ± 0.091,69.730 ± 9.578
0.714 ± 0.077,68.649 ± 7.272
0.712 ± 0.069,69.730 ± 7.027
0.722 ± 0.083,71.351 ± 8.304
0.714 ± 0.073,70.541 ± 7.687
0.712 ± 0.075,70.270 ± 8.198
0.705 ± 0.083,69.730 ± 7.529
0.715 ± 0.075,69.189 ± 7.852
0.710 ± 0.075,68.649 ± 7.372
0.714 ± 0.088,69.459 ± 8.202
0.712 ± 0.079,68.649 ± 7.568
0.707 ± 0.078,68.919 ± 7.475
0.825 ± 0.064,81.081 ± 7.451
0.810 ± 0.069,80.270 ± 7.156
0.808 ± 0.061,78.378 ± 7.833
0.808 ± 0.084,77.297 ± 10.620
0.815 ± 0.070,78.108 ± 8.585
0.800 ± 0.075,76.216 ± 8.090
0.820 ± 0.066,82.432 ± 7.176
0.797 ± 0.077,79.459 ± 5.156
0.803 ± 0.074,78.649 ± 8.058
0.808 ± 0.074,77.027 ± 10.760
0.798 ± 0.067,77.297 ± 9.760
0.781 ± 0.060,76.486 ± 8.291
0.781 ± 0.071,80.270 ± 8.202
0.785 ± 0.073,79.459 ± 6.964
0.785 ± 0.070,79.459 ± 5.013
0.795 ± 0.068,78.378 ± 8.461
0.780 ± 0.066,76.216 ± 8.783
0.776 ± 0.063,75.405 ± 7.687
0.785 ± 0.080,77.027 ± 8.131
0.776 ± 0.068,77.838 ± 7.625
0.780 ± 0.068,77.568 ± 6.515
0.763 ± 0.064,75.405 ± 6.333
0.764 ± 0.067,75.676 ± 9.205
0.769 ± 0.055,75.946 ± 7.782
0.808 ± 0.061,78.919 ± 9.347
0.839 ± 0.055,83.243 ± 7.431
0.836 ± 0.065,81.622 ± 6.019
0.820 ± 0.058,81.622 ± 7.431
0.839 ± 0.060,82.973 ± 6.049
0.805 ± 0.065,77.027 ± 8.482
0.820 ± 0.066,80.811 ± 6.670
0.847 ± 0.054,84.865 ± 5.695
0.837 ± 0.049,82.703 ± 5.296
0.831 ± 0.060,80.811 ± 8.238
0.834 ± 0.061,81.892 ± 5.412
0.807 ± 0.052,78.378 ± 6.281
0.837 ± 0.057,83.784 ± 7.352
0.844 ± 0.056,83.243 ± 6.486
0.836 ± 0.072,82.162 ± 5.946
0.841 ± 0.056,83.784 ± 7.252
0.808 ± 0.067,79.459 ± 7.171
0.814 ± 0.053,78.649 ± 7.397
0.827 ± 0.070,83.784 ± 7.926
0.822 ± 0.068,81.622 ± 7.332
0.798 ± 0.079,79.459 ± 7.272
0.820 ± 0.067,80.270 ± 6.843
0.812 ± 0.068,81.351 ± 5.727
0.802 ± 0.054,77.568 ± 8.291
0.844 ± 0.060,82.162 ± 6.419
0.829 ± 0.055,82.162 ± 6.964
0.803 ± 0.061,79.459 ± 6.419
0.792 ± 0.071,76.757 ± 9.221
0.815 ± 0.070,80.000 ± 8.649
0.805 ± 0.070,77.838 ± 8.699
0.839 ± 0.060,84.054 ± 6.216
0.802 ± 0.059,80.000 ± 7.068
0.802 ± 0.056,79.459 ± 5.156
0.812 ± 0.055,79.459 ± 9.221
0.800 ± 0.061,78.108 ± 7.397
0.785 ± 0.062,76.757 ± 8.036
0.797 ± 0.073,80.541 ± 6.708
0.792 ± 0.075,79.730 ± 7.176
0.790 ± 0.075,77.838 ± 6.708
0.800 ± 0.059,80.000 ± 6.187
0.790 ± 0.061,77.027 ± 6.648
0.775 ± 0.063,74.865 ± 7.156
0.775 ± 0.063,76.757 ± 6.859
0.790 ± 0.067,78.919 ± 7.815
0.781 ± 0.066,77.568 ± 6.626
0.780 ± 0.060,77.297 ± 6.531
0.763 ± 0.059,76.216 ± 6.708
0.764 ± 0.056,74.865 ± 7.456
0.808 ± 0.083,80.000 ± 12.099
0.822 ± 0.063,81.081 ± 8.108
0.827 ± 0.079,81.351 ± 9.397
0.775 ± 0.084,77.568 ± 13.132
0.780 ± 0.083,77.838 ± 12.723
0.778 ± 0.069,77.027 ± 9.536
0.825 ± 0.088,81.622 ± 8.444
0.831 ± 0.064,82.432 ± 6.310
0.832 ± 0.058,82.703 ± 6.964
0.810 ± 0.068,79.730 ± 9.145
0.825 ± 0.081,81.081 ± 9.284
0.807 ± 0.069,80.541 ± 7.999
0.800 ± 0.067,80.541 ± 7.332
0.814 ± 0.075,81.622 ± 7.332
0.802 ± 0.063,80.811 ± 6.559
0.815 ± 0.076,79.459 ± 7.944
0.802 ± 0.078,80.270 ± 8.202
0.788 ± 0.072,79.459 ± 7.372
0.785 ± 0.075,78.919 ± 7.130
0.805 ± 0.077,80.541 ± 7.720
0.793 ± 0.080,80.811 ± 7.967
0.783 ± 0.081,78.378 ± 6.620
0.785 ± 0.066,77.838 ± 9.347
0.783 ± 0.074,77.838 ± 7.431
0.771 ± 0.087,78.649 ± 12.353
0.797 ± 0.096,79.189 ± 12.680
0.786 ± 0.085,78.919 ± 11.261
0.788 ± 0.074,79.189 ± 11.533
0.792 ± 0.079,78.378 ± 11.209
0.792 ± 0.070,78.108 ± 11.173
