0.719 ± 0.011,72.093 ± 2.038
0.761 ± 0.019,76.358 ± 2.496
0.766 ± 0.016,76.499 ± 2.446
0.767 ± 0.013,76.781 ± 2.032
0.727 ± 0.015,73.199 ± 2.828
0.726 ± 0.012,73.078 ± 2.466
0.734 ± 0.013,73.622 ± 2.332
0.789 ± 0.011,78.813 ± 2.072
0.788 ± 0.010,79.175 ± 2.086
0.790 ± 0.010,78.954 ± 2.050
0.770 ± 0.010,76.600 ± 1.896
0.767 ± 0.012,76.338 ± 2.316
0.771 ± 0.014,76.922 ± 2.586
0.726 ± 0.012,72.616 ± 2.013
0.726 ± 0.011,72.897 ± 2.052
0.731 ± 0.011,72.918 ± 1.724
0.711 ± 0.010,71.247 ± 2.013
0.713 ± 0.010,71.590 ± 2.297
0.718 ± 0.010,72.133 ± 2.039
0.723 ± 0.008,72.616 ± 2.757
0.732 ± 0.009,73.280 ± 2.057
0.736 ± 0.012,73.581 ± 2.020
0.714 ± 0.010,71.529 ± 1.858
0.714 ± 0.013,71.992 ± 2.229
0.721 ± 0.008,71.871 ± 2.104
0.744 ± 0.015,74.567 ± 2.582
0.742 ± 0.016,74.547 ± 2.639
0.753 ± 0.013,74.849 ± 2.202
0.716 ± 0.012,71.911 ± 2.273
0.716 ± 0.012,72.173 ± 2.105
0.724 ± 0.015,72.455 ± 1.956
0.765 ± 0.016,76.358 ± 2.639
0.763 ± 0.015,76.479 ± 2.192
0.764 ± 0.014,76.398 ± 2.294
0.739 ± 0.014,74.366 ± 2.000
0.745 ± 0.015,74.386 ± 2.550
0.746 ± 0.013,74.728 ± 2.497
0.723 ± 0.012,71.932 ± 1.570
0.722 ± 0.009,72.435 ± 1.782
0.727 ± 0.014,72.777 ± 1.809
0.706 ± 0.011,71.006 ± 1.873
0.712 ± 0.012,71.308 ± 2.044
0.714 ± 0.008,71.590 ± 1.944
0.729 ± 0.015,73.018 ± 2.694
0.734 ± 0.013,73.441 ± 2.446
0.736 ± 0.014,73.722 ± 2.116
0.708 ± 0.009,70.986 ± 2.028
0.713 ± 0.010,71.529 ± 2.184
0.717 ± 0.008,71.751 ± 1.831
0.756 ± 0.016,75.775 ± 2.512
0.758 ± 0.014,75.915 ± 2.499
0.760 ± 0.016,75.855 ± 2.518
0.721 ± 0.010,72.173 ± 2.411
0.723 ± 0.013,72.435 ± 2.515
0.731 ± 0.012,73.300 ± 1.976
0.783 ± 0.007,78.451 ± 1.578
0.786 ± 0.011,78.109 ± 2.055
0.787 ± 0.010,78.833 ± 1.527
0.760 ± 0.010,75.775 ± 2.101
0.758 ± 0.011,75.915 ± 1.951
0.763 ± 0.012,76.358 ± 1.853
0.698 ± 0.013,69.517 ± 2.627
0.707 ± 0.013,70.503 ± 2.134
0.716 ± 0.010,71.288 ± 2.319
0.674 ± 0.012,67.827 ± 1.954
0.683 ± 0.009,68.431 ± 1.937
0.690 ± 0.008,68.773 ± 2.367
0.733 ± 0.020,72.837 ± 2.271
0.739 ± 0.014,73.461 ± 2.212
0.745 ± 0.014,74.266 ± 2.063
0.682 ± 0.012,68.209 ± 2.087
0.690 ± 0.012,68.732 ± 2.004
0.699 ± 0.012,69.799 ± 2.297
0.764 ± 0.013,75.875 ± 2.126
0.768 ± 0.013,76.660 ± 1.917
0.777 ± 0.010,77.646 ± 2.359
0.710 ± 0.013,71.288 ± 1.733
0.716 ± 0.013,71.992 ± 2.018
0.726 ± 0.012,72.213 ± 2.409
0.793 ± 0.010,78.109 ± 1.927
0.798 ± 0.008,78.893 ± 2.427
0.799 ± 0.010,79.175 ± 2.088
0.734 ± 0.015,74.165 ± 2.082
0.743 ± 0.015,74.668 ± 2.323
0.752 ± 0.013,75.352 ± 2.145
0.693 ± 0.013,68.954 ± 2.333
0.700 ± 0.013,70.342 ± 2.214
0.708 ± 0.011,70.805 ± 1.753
0.674 ± 0.012,67.525 ± 1.924
0.683 ± 0.011,68.129 ± 2.139
0.689 ± 0.012,68.994 ± 2.190
0.722 ± 0.016,72.213 ± 2.656
0.730 ± 0.014,73.018 ± 2.800
0.740 ± 0.011,73.179 ± 2.180
0.679 ± 0.013,67.545 ± 2.038
0.686 ± 0.013,68.491 ± 2.273
0.693 ± 0.011,69.155 ± 2.081
0.744 ± 0.014,74.849 ± 2.319
0.753 ± 0.015,75.352 ± 1.901
0.762 ± 0.012,75.634 ± 1.935
0.698 ± 0.012,69.940 ± 2.023
0.707 ± 0.012,70.704 ± 2.214
0.714 ± 0.010,71.087 ± 2.287
0.782 ± 0.016,77.907 ± 2.155
0.780 ± 0.018,77.928 ± 2.064
0.779 ± 0.013,78.109 ± 1.730
0.709 ± 0.012,71.207 ± 2.059
0.725 ± 0.014,72.495 ± 1.945
0.739 ± 0.014,73.662 ± 2.187
0.696 ± 0.013,69.195 ± 1.997
0.703 ± 0.011,70.181 ± 2.083
0.711 ± 0.012,70.946 ± 2.451
0.675 ± 0.013,67.304 ± 1.768
0.682 ± 0.015,68.008 ± 2.046
0.691 ± 0.010,68.853 ± 2.256
0.732 ± 0.016,73.239 ± 2.246
0.741 ± 0.014,73.461 ± 1.771
0.741 ± 0.012,73.461 ± 1.893
0.680 ± 0.011,67.988 ± 2.017
0.689 ± 0.013,68.592 ± 2.199
0.696 ± 0.014,69.537 ± 1.964
0.754 ± 0.018,75.855 ± 2.389
0.767 ± 0.013,76.539 ± 2.230
0.773 ± 0.013,77.062 ± 2.326
0.708 ± 0.015,70.704 ± 2.008
0.715 ± 0.013,71.569 ± 1.976
0.720 ± 0.013,71.932 ± 1.873
0.787 ± 0.012,78.531 ± 2.095
0.795 ± 0.014,78.511 ± 1.671
0.795 ± 0.011,79.014 ± 1.745
0.729 ± 0.015,73.421 ± 1.783
0.739 ± 0.015,74.286 ± 2.002
0.751 ± 0.012,75.272 ± 2.305
0.708 ± 0.011,71.207 ± 2.021
0.713 ± 0.010,71.388 ± 1.788
0.723 ± 0.009,72.113 ± 2.446
0.691 ± 0.011,69.296 ± 1.905
0.695 ± 0.009,69.497 ± 1.924
0.701 ± 0.007,70.020 ± 2.135
0.739 ± 0.016,74.286 ± 2.142
0.744 ± 0.014,74.688 ± 1.865
0.746 ± 0.013,75.050 ± 2.241
0.696 ± 0.011,69.980 ± 2.108
0.703 ± 0.012,70.402 ± 1.794
0.706 ± 0.010,70.885 ± 2.489
0.776 ± 0.015,77.505 ± 2.482
0.778 ± 0.011,78.189 ± 2.197
0.781 ± 0.013,77.988 ± 2.378
0.720 ± 0.012,72.696 ± 2.299
0.724 ± 0.012,73.058 ± 2.311
0.733 ± 0.012,73.581 ± 1.990
0.797 ± 0.014,79.376 ± 2.255
0.801 ± 0.009,79.638 ± 1.861
0.803 ± 0.010,79.940 ± 2.014
0.745 ± 0.010,74.648 ± 2.545
0.755 ± 0.010,75.634 ± 2.498
0.762 ± 0.015,76.076 ± 2.619
0.710 ± 0.010,70.905 ± 1.748
0.717 ± 0.007,71.247 ± 2.300
0.721 ± 0.009,72.052 ± 2.084
0.693 ± 0.009,69.195 ± 1.943
0.698 ± 0.010,69.839 ± 2.283
0.699 ± 0.008,70.181 ± 2.063
0.728 ± 0.014,73.280 ± 1.975
0.734 ± 0.013,73.380 ± 2.095
0.737 ± 0.014,73.722 ± 1.945
0.694 ± 0.010,69.497 ± 2.006
0.697 ± 0.012,70.060 ± 2.233
0.704 ± 0.012,70.241 ± 1.876
0.759 ± 0.011,76.338 ± 2.226
0.760 ± 0.014,76.217 ± 2.098
0.764 ± 0.012,76.781 ± 2.300
0.714 ± 0.011,71.449 ± 2.045
0.716 ± 0.011,71.831 ± 2.206
0.722 ± 0.012,72.636 ± 2.143
0.774 ± 0.016,77.706 ± 2.796
0.776 ± 0.013,78.410 ± 2.189
0.783 ± 0.010,78.652 ± 2.155
0.734 ± 0.010,73.863 ± 2.254
0.743 ± 0.013,74.829 ± 2.845
0.746 ± 0.013,75.010 ± 2.251
0.706 ± 0.009,70.664 ± 2.222
0.714 ± 0.009,71.308 ± 1.932
0.722 ± 0.009,72.113 ± 1.968
0.690 ± 0.011,68.934 ± 1.800
0.697 ± 0.008,69.195 ± 1.976
0.699 ± 0.008,69.638 ± 2.157
0.733 ± 0.015,73.662 ± 2.284
0.739 ± 0.013,74.044 ± 2.072
0.743 ± 0.013,74.789 ± 2.169
0.696 ± 0.011,69.477 ± 2.124
0.699 ± 0.011,70.060 ± 2.102
0.705 ± 0.010,70.543 ± 1.922
0.772 ± 0.015,77.183 ± 2.239
0.772 ± 0.012,77.344 ± 1.766
0.774 ± 0.012,77.887 ± 1.943
0.719 ± 0.015,72.274 ± 1.969
0.725 ± 0.011,72.575 ± 1.726
0.729 ± 0.013,73.622 ± 2.136
0.797 ± 0.009,79.356 ± 2.072
0.798 ± 0.012,79.336 ± 1.947
0.803 ± 0.011,79.920 ± 2.104
0.750 ± 0.012,75.050 ± 2.118
0.752 ± 0.011,75.976 ± 2.052
0.762 ± 0.011,76.358 ± 2.199
0.723 ± 0.011,72.133 ± 2.245
0.728 ± 0.011,72.575 ± 1.957
0.728 ± 0.009,72.777 ± 1.574
0.707 ± 0.011,70.986 ± 1.944
0.712 ± 0.009,71.590 ± 2.034
0.716 ± 0.012,71.489 ± 1.892
0.730 ± 0.012,72.757 ± 2.525
0.735 ± 0.011,73.280 ± 2.522
0.734 ± 0.013,73.803 ± 2.360
0.706 ± 0.011,71.408 ± 1.603
0.715 ± 0.011,71.811 ± 2.190
0.717 ± 0.012,71.811 ± 2.376
0.757 ± 0.014,76.016 ± 2.313
0.761 ± 0.014,75.996 ± 2.766
0.762 ± 0.011,76.499 ± 2.294
0.724 ± 0.013,72.777 ± 2.333
0.728 ± 0.009,72.958 ± 2.473
0.732 ± 0.012,73.280 ± 2.087
0.784 ± 0.013,78.592 ± 2.186
0.790 ± 0.014,78.712 ± 2.174
0.794 ± 0.010,79.014 ± 2.230
0.766 ± 0.010,76.559 ± 2.497
0.768 ± 0.009,76.720 ± 2.466
0.770 ± 0.012,76.680 ± 2.551
0.724 ± 0.012,72.495 ± 1.984
0.727 ± 0.010,72.797 ± 1.790
0.731 ± 0.011,73.139 ± 1.825
0.709 ± 0.011,71.046 ± 1.914
0.714 ± 0.010,71.328 ± 1.842
0.714 ± 0.011,71.549 ± 1.860
0.727 ± 0.010,72.314 ± 1.862
0.729 ± 0.010,72.938 ± 1.689
0.732 ± 0.011,72.998 ± 1.952
0.712 ± 0.010,71.650 ± 1.845
0.712 ± 0.009,71.831 ± 2.310
0.717 ± 0.010,71.791 ± 1.859
0.744 ± 0.014,74.185 ± 2.810
0.744 ± 0.012,74.286 ± 2.649
0.748 ± 0.015,74.567 ± 2.654
0.716 ± 0.010,71.751 ± 2.622
