0.868 ± 0.051,85.135 ± 4.720
0.861 ± 0.044,85.946 ± 4.804
0.856 ± 0.043,84.595 ± 4.842
0.853 ± 0.036,85.405 ± 4.045
0.847 ± 0.049,85.405 ± 4.391
0.866 ± 0.048,85.405 ± 2.756
0.861 ± 0.041,85.946 ± 3.784
0.853 ± 0.041,85.135 ± 4.054
0.859 ± 0.054,84.865 ± 4.391
0.863 ± 0.049,85.405 ± 4.045
0.851 ± 0.042,84.595 ± 4.018
0.795 ± 0.055,76.486 ± 4.991
0.792 ± 0.057,76.757 ± 4.222
0.798 ± 0.059,76.486 ± 4.531
0.802 ± 0.058,77.568 ± 5.135
0.800 ± 0.062,77.027 ± 5.020
0.790 ± 0.061,77.838 ± 5.099
0.792 ± 0.057,76.216 ± 5.378
0.798 ± 0.057,76.216 ± 5.099
0.795 ± 0.064,76.216 ± 4.804
0.793 ± 0.055,76.486 ± 4.196
0.800 ± 0.061,76.757 ± 4.222
0.802 ± 0.063,78.108 ± 4.595
0.780 ± 0.075,76.216 ± 5.897
0.785 ± 0.071,75.405 ± 5.049
0.795 ± 0.059,76.486 ± 5.412
0.802 ± 0.054,76.486 ± 4.991
0.803 ± 0.063,77.568 ± 5.135
0.797 ± 0.061,77.297 ± 5.013
0.785 ± 0.070,75.135 ± 4.650
0.776 ± 0.062,75.135 ± 5.771
0.790 ± 0.070,75.946 ± 5.049
0.795 ± 0.056,76.486 ± 5.676
0.800 ± 0.058,76.757 ± 5.565
0.800 ± 0.054,76.216 ± 5.099
0.803 ± 0.046,77.838 ± 4.152
0.803 ± 0.058,77.838 ± 3.376
0.803 ± 0.047,77.568 ± 4.196
0.800 ± 0.053,77.027 ± 5.020
0.814 ± 0.042,77.297 ± 4.712
0.803 ± 0.047,77.838 ± 4.152
0.802 ± 0.049,78.108 ± 4.090
0.805 ± 0.054,78.108 ± 3.299
0.803 ± 0.054,76.486 ± 4.842
0.805 ± 0.052,76.757 ± 4.391
0.802 ± 0.054,78.108 ± 4.265
0.808 ± 0.052,77.297 ± 4.555
0.805 ± 0.052,77.568 ± 3.832
0.805 ± 0.052,77.568 ± 3.636
0.797 ± 0.060,76.216 ± 5.241
0.797 ± 0.055,78.108 ± 4.595
0.807 ± 0.056,77.027 ± 4.400
0.803 ± 0.060,77.027 ± 4.400
0.800 ± 0.055,77.027 ± 3.472
0.807 ± 0.053,77.297 ± 4.555
0.800 ± 0.058,77.568 ± 4.842
0.808 ± 0.050,76.216 ± 5.099
0.800 ± 0.058,76.486 ± 3.832
0.800 ± 0.056,76.757 ± 5.156
0.797 ± 0.044,75.946 ± 5.727
0.803 ± 0.065,76.757 ± 4.865
0.795 ± 0.059,77.027 ± 4.720
0.785 ± 0.059,75.946 ± 4.902
0.803 ± 0.052,76.486 ± 5.135
0.802 ± 0.046,76.216 ± 5.099
0.797 ± 0.051,75.405 ± 6.670
0.793 ± 0.059,76.757 ± 4.555
0.788 ± 0.063,75.405 ± 4.751
0.797 ± 0.058,76.486 ± 4.842
0.790 ± 0.051,75.946 ± 4.265
0.793 ± 0.060,76.486 ± 5.545
0.797 ± 0.047,75.135 ± 6.373
0.788 ± 0.059,76.216 ± 5.643
0.795 ± 0.062,76.757 ± 5.296
0.795 ± 0.062,76.216 ± 5.099
0.798 ± 0.064,77.297 ± 5.296
0.792 ± 0.059,76.486 ± 6.169
0.783 ± 0.055,75.135 ± 5.512
0.797 ± 0.064,76.757 ± 4.712
0.781 ± 0.078,77.027 ± 4.563
0.800 ± 0.062,75.676 ± 5.269
0.792 ± 0.056,76.216 ± 5.241
0.792 ± 0.065,76.486 ± 4.991
0.851 ± 0.045,84.054 ± 3.716
0.859 ± 0.037,82.703 ± 4.391
0.841 ± 0.047,84.054 ± 5.466
0.842 ± 0.041,82.703 ± 5.013
0.827 ± 0.042,81.351 ± 4.433
0.824 ± 0.046,80.811 ± 4.090
0.854 ± 0.037,84.324 ± 4.650
0.846 ± 0.043,84.324 ± 4.324
0.844 ± 0.039,83.514 ± 4.090
0.837 ± 0.040,82.973 ± 4.531
0.836 ± 0.044,82.432 ± 4.054
0.820 ± 0.053,81.622 ± 4.152
0.859 ± 0.044,84.324 ± 3.586
0.864 ± 0.045,84.054 ± 3.299
0.851 ± 0.039,84.865 ± 4.222
0.837 ± 0.041,83.784 ± 5.128
0.841 ± 0.041,83.784 ± 4.009
0.825 ± 0.044,81.892 ± 4.366
0.847 ± 0.037,85.676 ± 3.636
0.846 ± 0.053,84.595 ± 2.973
0.836 ± 0.056,83.784 ± 3.198
0.839 ± 0.049,84.595 ± 4.531
0.839 ± 0.049,83.514 ± 3.716
0.836 ± 0.046,82.973 ± 4.196
0.842 ± 0.034,84.054 ± 4.595
0.842 ± 0.032,84.324 ± 3.784
0.834 ± 0.035,84.324 ± 5.099
0.842 ± 0.042,83.784 ± 5.269
0.832 ± 0.038,83.243 ± 4.490
0.831 ± 0.037,81.622 ± 5.771
0.853 ± 0.042,84.054 ± 4.595
0.841 ± 0.040,82.162 ± 4.045
0.841 ± 0.041,84.054 ± 4.090
0.834 ± 0.032,81.892 ± 4.842
0.841 ± 0.031,82.703 ± 4.391
0.824 ± 0.042,80.811 ± 4.090
0.853 ± 0.039,84.595 ± 4.196
0.849 ± 0.043,84.865 ± 4.712
0.854 ± 0.030,84.324 ± 4.152
0.842 ± 0.034,82.973 ± 4.196
0.842 ± 0.040,84.054 ± 4.090
0.827 ± 0.045,83.784 ± 4.187
0.849 ± 0.037,85.135 ± 5.164
0.846 ± 0.039,85.135 ± 3.676
0.846 ± 0.037,84.324 ± 3.972
0.842 ± 0.033,83.784 ± 4.187
0.842 ± 0.036,84.595 ± 4.689
0.831 ± 0.041,83.784 ± 4.522
0.854 ± 0.052,83.784 ± 4.009
0.847 ± 0.041,83.243 ± 2.648
0.841 ± 0.043,83.514 ± 4.265
0.839 ± 0.029,83.514 ± 4.265
0.837 ± 0.042,81.892 ± 4.196
0.824 ± 0.047,80.811 ± 3.907
0.854 ± 0.040,84.054 ± 5.598
0.851 ± 0.033,82.973 ± 4.531
0.832 ± 0.049,83.514 ± 4.751
0.849 ± 0.032,83.243 ± 4.324
0.842 ± 0.036,83.514 ± 5.049
0.831 ± 0.045,82.432 ± 4.563
0.868 ± 0.048,84.595 ± 4.196
0.847 ± 0.035,84.595 ± 3.209
0.829 ± 0.060,84.054 ± 3.514
0.844 ± 0.041,84.054 ± 5.192
0.837 ± 0.039,83.514 ± 4.265
0.831 ± 0.040,82.162 ± 4.555
0.854 ± 0.040,84.054 ± 4.751
0.854 ± 0.050,84.865 ± 3.243
0.837 ± 0.041,84.054 ± 3.070
0.858 ± 0.039,83.784 ± 4.009
0.846 ± 0.040,84.324 ± 4.490
0.831 ± 0.059,83.514 ± 3.907
0.841 ± 0.108,81.351 ± 12.471
0.864 ± 0.044,84.595 ± 4.018
0.856 ± 0.042,85.135 ± 4.872
0.849 ± 0.043,84.324 ± 3.972
0.851 ± 0.041,84.324 ± 4.324
0.846 ± 0.037,84.595 ± 5.135
0.869 ± 0.042,84.324 ± 4.650
0.866 ± 0.038,84.865 ± 3.666
0.859 ± 0.040,85.135 ± 4.054
0.858 ± 0.037,84.054 ± 3.514
0.856 ± 0.035,84.865 ± 5.013
0.849 ± 0.047,84.324 ± 3.972
0.868 ± 0.042,85.676 ± 4.366
0.875 ± 0.041,84.595 ± 4.531
0.873 ± 0.047,85.135 ± 4.054
0.856 ± 0.039,85.676 ± 2.973
0.861 ± 0.041,84.595 ± 4.018
0.849 ± 0.038,84.324 ± 4.490
0.864 ± 0.050,83.784 ± 4.835
0.866 ± 0.042,84.595 ± 4.018
0.846 ± 0.041,84.324 ± 4.954
0.866 ± 0.049,85.135 ± 3.676
0.853 ± 0.049,85.135 ± 4.054
0.853 ± 0.047,84.324 ± 4.152
0.841 ± 0.107,81.892 ± 11.596
0.841 ± 0.094,82.162 ± 11.222
0.825 ± 0.093,80.541 ± 10.454
0.824 ± 0.101,82.432 ± 12.041
0.786 ± 0.144,78.919 ± 12.665
0.776 ± 0.145,77.838 ± 12.491
0.876 ± 0.036,85.676 ± 3.832
0.869 ± 0.042,84.865 ± 4.555
0.861 ± 0.041,85.676 ± 4.689
0.851 ± 0.039,83.784 ± 4.009
0.846 ± 0.040,85.135 ± 4.400
0.846 ± 0.041,84.595 ± 5.275
0.871 ± 0.040,84.324 ± 4.490
0.871 ± 0.043,85.135 ± 3.676
0.863 ± 0.043,84.054 ± 5.331
0.853 ± 0.039,84.865 ± 3.860
0.856 ± 0.045,84.595 ± 4.366
0.849 ± 0.035,84.595 ± 4.689
0.868 ± 0.041,84.865 ± 4.555
0.863 ± 0.040,85.405 ± 4.865
0.859 ± 0.037,84.595 ± 4.366
0.858 ± 0.037,84.865 ± 5.296
0.851 ± 0.039,84.324 ± 4.650
0.851 ± 0.039,85.135 ± 4.563
0.841 ± 0.106,81.892 ± 12.680
0.834 ± 0.104,81.081 ± 12.385
0.841 ± 0.097,81.351 ± 12.294
0.863 ± 0.041,84.595 ± 4.689
0.854 ± 0.037,85.405 ± 3.666
0.814 ± 0.092,81.081 ± 11.781
0.869 ± 0.043,84.324 ± 3.586
0.861 ± 0.042,85.135 ± 4.720
0.863 ± 0.043,84.324 ± 3.972
0.853 ± 0.033,85.946 ± 4.324
0.854 ± 0.042,84.324 ± 3.152
0.849 ± 0.053,84.865 ± 4.712
